,Open,High,Low,Close,Volume,Adj. Close,Date
2021-04-05,191.66000366210938,192.10000610351562,185.80999755859375,186.69000244140625,2591400,186.69000244140625,2021-04-05
2021-04-06,188.6999969482422,194.47999572753906,187.52000427246094,190.02999877929688,3565600,190.02999877929688,2021-04-06
2021-04-07,189.3800048828125,190.6199951171875,179.47000122070312,179.94000244140625,6663500,179.94000244140625,2021-04-07
2021-04-08,181.6479949951172,183.89999389648438,179.3000030517578,180.17999267578125,2625300,180.17999267578125,2021-04-08
2021-04-09,179.6199951171875,182.4600067138672,177.25,179.5,2910200,179.5,2021-04-09
2021-04-12,179.67999267578125,181.49000549316406,176.25,176.49000549316406,2619800,176.49000549316406,2021-04-12
2021-04-13,175.26499938964844,178.61000061035156,172.13999938964844,177.9499969482422,3573600,177.9499969482422,2021-04-13
2021-04-14,179.5,181.4669952392578,175.30999755859375,176.42999267578125,2938600,176.42999267578125,2021-04-14
2021-04-15,177.0,178.24000549316406,174.25,175.35000610351562,2894900,175.35000610351562,2021-04-15
2021-04-16,176.01199340820312,179.50999450683594,172.94000244140625,178.69000244140625,3058300,178.69000244140625,2021-04-16
2021-04-19,177.32000732421875,178.72000122070312,171.5,174.5800018310547,3125700,174.5800018310547,2021-04-19
2021-04-20,173.1840057373047,175.0,165.52000427246094,169.57000732421875,4575000,169.57000732421875,2021-04-20
2021-04-21,168.08999633789062,170.32000732421875,164.1199951171875,167.07000732421875,3878600,167.07000732421875,2021-04-21
2021-04-22,168.49000549316406,176.9199981689453,168.42999267578125,170.7100067138672,3856500,170.7100067138672,2021-04-22
2021-04-23,172.91900634765625,178.25,172.0,174.25,3329900,174.25,2021-04-23
2021-04-26,175.2100067138672,176.031005859375,171.07000732421875,174.8800048828125,2549400,174.8800048828125,2021-04-26
2021-04-27,176.1649932861328,179.61000061035156,174.8000030517578,177.94000244140625,2883000,177.94000244140625,2021-04-27
2021-04-28,174.43699645996094,181.6699981689453,173.3509979248047,180.0,2409700,180.0,2021-04-28
2021-04-29,182.75,183.22000122070312,173.35000610351562,177.67999267578125,3116000,177.67999267578125,2021-04-29
2021-04-30,173.00399780273438,176.4499969482422,172.00999450683594,172.7100067138672,3580000,172.7100067138672,2021-04-30
2021-05-03,173.19000244140625,173.44000244140625,167.8000030517578,168.11000061035156,3149700,168.11000061035156,2021-05-03
2021-05-04,167.01499938964844,169.0399932861328,161.9600067138672,168.89999389648438,4658000,168.89999389648438,2021-05-04
2021-05-05,169.3000030517578,170.17999267578125,162.1199951171875,162.3300018310547,3590100,162.3300018310547,2021-05-05
