,Open,High,Low,Close,Volume,Adj. Close,Date
2021-04-22,121.53666144529232,123.40126555823213,119.38443090158754,120.4159164428711,7751500,120.4159164428711,2021-04-22
2021-04-23,120.92571246373826,122.91032810189576,120.53493368039494,122.68716430664062,4761400,122.68716430664062,2021-04-23
2021-04-26,123.6095497602321,126.77343304841418,122.50863763070562,126.68417358398438,6403900,126.68417358398438,2021-04-26
2021-04-27,126.5750731439985,127.09081214818471,124.17488191737694,125.20636749267578,4985300,125.20636749267578,2021-04-27
2021-04-28,124.2740695896796,125.42456778746343,122.8656905385814,124.35340881347656,5190200,124.35340881347656,2021-04-28
2021-04-29,125.11710878551524,125.26588212681033,119.59271521180892,120.76305389404297,9313500,120.76305389404297,2021-04-29
2021-04-30,119.10671824873567,121.60608912073654,118.86868544990148,119.7811508178711,6921900,119.7811508178711,2021-04-30
2021-05-03,120.21755428255423,120.41592126011724,115.75439944089402,115.95276641845703,10956200,115.95276641845703,2021-05-03
2021-05-04,114.53447498630443,114.55430790064909,110.24984662984033,112.3624038696289,14621000,112.3624038696289,2021-05-04
2021-05-05,113.72118652542896,113.89871418361832,109.80352393164897,110.63665008544922,9106800,110.63665008544922,2021-05-05
2021-05-06,109.71426473472141,109.71436473472141,104.81471020398929,107.45292663574219,17515400,107.45292663574219,2021-05-06
2021-05-07,110.11098366470172,112.20370794648939,108.23645927078594,108.8216323852539,14769400,108.8216323852539,2021-05-07
2021-05-10,107.49259903656647,107.5025192768929,103.04928480303802,103.12863159179688,17802500,103.12863159179688,2021-05-10
2021-05-11,99.04236737116028,106.25283877020657,98.08030832184966,105.25111389160156,30440500,105.25111389160156,2021-05-11
2021-05-12,102.49386316833035,104.97339352444742,100.69868561191797,101.32353210449219,17478900,101.32353210449219,2021-05-12
2021-05-13,102.44428365025391,103.82290201103096,96.42398386342288,98.66548156738281,29699500,98.66548156738281,2021-05-13
2021-05-14,101.01606795864978,103.7832248198177,99.74654959229169,103.45592498779297,20572500,103.45592498779297,2021-05-14
2021-05-17,101.908698942652,104.02125610904857,100.11352136322947,102.464111328125,16239700,102.464111328125,2021-05-17
2021-05-18,102.46411385131236,106.31234995092765,101.44254851705001,103.93199920654297,17658600,103.93199920654297,2021-05-18
2021-05-19,99.22088977656907,102.39468567402207,99.21096953619151,102.12689971923828,18364800,102.12689971923828,2021-05-19
2021-05-20,103.64437085372205,106.233001200016,103.19805840791673,105.71725463867188,11797600,105.71725463867188,2021-05-20
2021-05-21,106.76858147209542,107.25456731601065,104.84446344343425,104.97339630126953,11478700,104.97339630126953,2021-05-21
2021-05-24,105.95529236561231,108.59350871408138,105.0329067759271,107.83973693847656,9325300,107.83973693847656,2021-05-24
2021-05-25,108.6034333322522,109.86303146702339,107.4340859286037,108.48441314697266,8821300,108.48441314697266,2021-05-25
2021-05-26,109.06958665585289,110.83501112571534,108.86130700606392,110.51763153076172,8340000,110.51763153076172,2021-05-26
2021-05-27,110.37878004317258,111.3854688153202,108.37531517263608,111.36067199707031,7496500,111.36067199707031,2021-05-27
2021-05-28,111.53721462143002,114.19725410841734,110.93419111936907,111.18214416503906,9217700,111.18214416503906,2021-05-28
2021-06-01,111.92600165427078,112.80871387850651,109.14992339115622,110.33910369873047,7496100,110.33910369873047,2021-06-01
2021-06-02,110.41844791682486,111.31108036069321,109.36117429367715,110.3886947631836,7250400,110.3886947631836,2021-06-02
2021-06-03,108.9108948239268,109.77377415856083,106.51071112561225,106.55038452148438,10095800,106.55038452148438,2021-06-03
2021-06-04,107.90916420094895,109.39191851211802,107.55211122406264,108.61334991455078,6581600,108.61334991455078,2021-06-04
2021-06-07,108.37531526631588,112.12437172129859,108.03810275199092,111.76731872558594,7392200,111.76731872558594,2021-06-07
2021-06-08,112.81863108575396,113.83027614054795,109.81344150798009,112.20370483398438,6810700,112.20370483398438,2021-06-08
2021-06-09,112.81863497386162,113.78069399489641,111.72764309409308,111.9260025024414,7349200,111.9260025024414,2021-06-09
2021-06-10,111.5292774271681,114.18733439161977,111.21983553580642,114.02864837646484,7184400,114.02864837646484,2021-06-10
2021-06-11,114.52455578699468,115.20890862546875,113.87987634449716,115.16923522949219,6661200,115.16923522949219,2021-06-11
2021-06-14,115.63537874412252,117.93440017048711,115.45685981549323,117.36113739013672,8467000,117.36113739013672,2021-06-14
2021-06-15,116.88506301661776,117.08342999127507,113.70134685090001,114.14765930175781,8590500,114.14765930175781,2021-06-15
2021-06-16,113.95922023753039,114.82209198555918,110.96394323637088,113.59224700927734,12257800,113.59224700927734,2021-06-16
2021-06-17,112.8682253173246,118.18433902880672,112.68969882824773,117.52973937988281,12696600,117.52973937988281,2021-06-17
2021-06-18,116.8057153065707,118.86868642519664,116.41890916769412,117.92646789550781,8495700,117.92646789550781,2021-06-18
2021-06-21,117.4999857163536,119.19598357176177,115.56594749859171,118.5314712524414,5448600,118.5314712524414,2021-06-21
2021-06-22,118.06532227027971,120.05886686161755,117.87687553553306,120.02910614013672,6356700,120.02910614013672,2021-06-22
2021-06-23,120.50517721713183,122.86568742947273,120.22747102355363,122.5185546875,7841300,122.5185546875,2021-06-23
2021-06-24,123.88726102675457,126.17834470398195,123.5004473212555,124.25422668457031,9897600,124.25422668457031,2021-06-24
2021-06-25,124.90882917931891,125.29563532666911,123.01446427112947,124.46250915527344,7330200,124.46250915527344,2021-06-25
