,Open,High,Low,Close,Volume,Adj. Close,Date
2021-05-03,152.9860199049792,154.43087805544377,152.41203598769704,153.19384765625,2726200,153.19384765625,2021-05-03
2021-05-04,152.87713625522537,154.12407236313481,151.25415323422652,152.92662048339844,3025100,152.92662048339844,2021-05-04
2021-05-05,153.26311602489452,155.1038178931614,152.7188347206802,154.76734924316406,3001600,154.76734924316406,2021-05-05
2021-05-06,155.23246158750638,155.8757113144955,152.421932321187,155.25225830078125,2798800,155.25225830078125,2021-05-06
2021-05-07,153.99543069255097,157.60755317767166,153.72822791597258,157.33045959472656,2617800,157.33045959472656,2021-05-07
2021-05-10,158.09247453566852,159.02272375026308,156.855444218488,157.0335693359375,2987600,157.0335693359375,2021-05-10
2021-05-11,154.83660291735717,156.1527897634431,152.05574633978154,152.82765197753906,3900100,152.82765197753906,2021-05-11
2021-05-12,153.11467665019424,154.28242610453995,150.49217823121865,150.71978759765625,3487400,150.71978759765625,2021-05-12
2021-05-13,150.82865237259585,153.20374479705188,150.23487171624717,152.4813232421875,2269700,152.4813232421875,2021-05-13
2021-05-14,153.77772159901065,156.30126662063424,152.92664408467203,155.5194549560547,1892700,155.5194549560547,2021-05-14
2021-05-17,155.42049868365402,155.74707651334137,154.26264006956333,155.2324676513672,1541400,155.2324676513672,2021-05-17
2021-05-18,155.727271072666,156.65752027471265,153.25321047167708,153.38186645507812,2417800,153.38186645507812,2021-05-18
2021-05-19,150.49215344385644,153.174026464482,150.14577894724542,153.12454223632812,3526800,153.12454223632812,2021-05-19
2021-05-20,153.8568847261709,154.62879044001,152.3328549113322,153.916259765625,3031100,153.916259765625,2021-05-20
2021-05-21,155.07410578955964,157.16221341073444,154.72774638727813,155.24234008789062,3424100,155.24234008789062,2021-05-21
2021-05-24,156.06373884013027,157.2611908086915,155.32152066387684,156.99398803710938,1956900,156.99398803710938,2021-05-24
2021-05-25,157.4195436102748,158.4190587105095,156.10334148790537,156.3705291748047,2484200,156.3705291748047,2021-05-25
2021-05-26,156.51896049566182,157.7263031767852,155.73714895436956,156.93460083007812,3731600,156.93460083007812,2021-05-26
2021-05-27,158.32008071825368,158.62686181470158,157.20181560221465,158.08258056640625,2828400,158.08258056640625,2021-05-27
2021-05-28,158.59717726145357,158.9732393095342,157.2117093482108,158.46853637695312,2436400,158.46853637695312,2021-05-28
2021-06-01,160.82382181226947,162.40722655775124,159.87379104535384,162.06085205078125,3827800,162.06085205078125,2021-06-01
2021-06-02,162.9020508425512,163.97084686065568,161.62544218508825,162.41712951660156,3384600,162.41712951660156,2021-06-02
2021-06-03,161.98169242242042,163.70364407942782,161.13063005109862,162.81298828125,2454800,162.81298828125,2021-06-03
2021-06-04,163.2880096435547,164.01043115505865,161.62544806631792,163.2880096435547,3239300,163.2880096435547,2021-06-04
2021-06-07,163.91145618652774,164.92086196806778,163.6541442379079,164.1984405517578,2516400,164.1984405517578,2021-06-07
2021-06-08,163.14944424514653,165.40578618585218,161.93221072198162,164.78231811523438,2486300,164.78231811523438,2021-06-08
2021-06-09,163.55520035411493,164.41616860013812,162.10045153123397,162.38743591308594,2700100,162.38743591308594,2021-06-09
2021-06-10,163.4661261850596,163.49582880495686,160.43787839950076,160.54673767089844,3024500,160.54673767089844,2021-06-10
2021-06-11,161.3087732150226,162.83278810916647,160.8238518348329,162.8031005859375,1630100,162.8031005859375,2021-06-11
2021-06-14,162.59525759344527,163.16924143625323,161.41760239013817,162.11033630371094,2125700,162.11033630371094,2021-06-14
2021-06-15,162.22911311615024,165.16829865580613,162.1004722184389,164.5448455810547,3726100,164.5448455810547,2021-06-15
2021-06-16,164.05990618663822,164.92087444794598,162.565579012323,162.9713134765625,3281300,162.9713134765625,2021-06-16
2021-06-17,164.24793791827537,164.2776254377267,158.86437958424128,160.44778442382812,4194400,160.44778442382812,2021-06-17
2021-06-18,157.05336928616381,158.01330604011852,155.61841710875225,156.52886962890625,6900200,156.52886962890625,2021-06-18
2021-06-21,158.41905986078552,163.49583735529163,157.4789197952577,163.1890411376953,3681400,163.1890411376953,2021-06-21
2021-06-22,161.72438641531977,163.5255097238415,160.77435563098481,162.79318237304688,2697600,162.79318237304688,2021-06-22
2021-06-23,163.31769086019568,165.12870507293576,163.08017560098673,164.29742431640625,2327600,164.29742431640625,2021-06-23
2021-06-24,165.3266142866246,166.83084727919982,164.6833646051738,166.46469116210938,2417100,166.46469116210938,2021-06-24
2021-06-25,166.7021940339562,168.64186411672466,166.7020940339562,167.6918182373047,9186000,167.6918182373047,2021-06-25
2021-06-28,166.87045107580158,167.0980755459262,161.5066889747924,163.07029724121094,3433400,163.07029724121094,2021-06-28
2021-06-29,163.85210295302207,164.5943211796247,161.5363706096658,162.54579162597656,2785900,162.54579162597656,2021-06-29
2021-06-30,162.00150097219029,164.43598348579812,162.00140097219028,163.515625,2331800,163.515625,2021-06-30
2021-07-01,164.35899173941615,166.06558803788622,163.4064820294931,165.63894653320312,2685900,165.63894653320312,2021-07-01
