,Open,High,Low,Close,Volume,Adj. Close,Date
4/7/2020,22.42436683,23.02803176,21.82957952,22.01600456,18976100,22.01600456,2020-04-07
4/8/2020,21.92722747,22.63742038,21.77631127,22.53976822,13992300,22.53976822,2020-04-08
4/9/2020,22.48650767,22.61966865,21.58988793,22.10477829,25680500,22.10477829,2020-04-09
4/13/2020,22.57527943,22.58415705,21.80294314,22.11365318,10434000,22.11365318,2020-04-13
4/14/2020,21.69641495,22.02487854,21.44784658,21.69641495,12335200,21.69641495,2020-04-14
4/15/2020,20.70214539,20.74653351,20.03633881,20.27602959,23633000,20.27602959,2020-04-15
4/16/2020,19.70787344,19.80552391,19.28175598,19.39716339,19866500,19.39716339,2020-04-16
4/17/2020,20.01858309,20.81755231,19.94756379,20.79979706,14878100,20.79979706,2020-04-17
4/20/2020,19.76114082,20.40919219,19.68124389,19.84103775,18106000,19.84103775,2020-04-20
4/21/2020,19.12196438,19.69011874,18.89115124,19.21073723,23740700,19.21073723,2020-04-21
4/22/2020,20.40031138,20.80867359,20.16949825,20.71102142,14883100,20.71102142,2020-04-22
4/23/2020,20.79979354,21.20815401,20.64887734,20.75540543,14592300,20.75540543,2020-04-23
4/24/2020,20.94183513,21.14601539,20.45357768,20.76428604,13161700,20.76428604,2020-04-24
4/27/2020,20.54235064,21.66090583,20.26715107,21.58100891,16002100,21.58100891,2020-04-27
4/28/2020,21.27917591,21.74967979,21.10162852,21.44784737,11909000,21.44784737,2020-04-28
4/29/2020,22.28232821,22.61079186,22.21130891,22.57528305,12443500,22.57528305,2020-04-29
4/30/2020,21.51886663,21.57213067,20.95071227,21.12825966,18558100,21.12825966,2020-04-30
5/1/2020,20.34704588,20.60449017,20.0895999,20.26714897,13474900,20.26714897,2020-05-01
5/4/2020,20.13399049,20.73765537,20.00082952,20.6400032,14212700,20.6400032,2020-05-04
5/5/2020,21.67866042,21.95385998,21.12825962,21.19040298,13556300,21.19040298,2020-05-05
5/6/2020,21.43896742,21.49223146,20.87969075,20.93295479,11111900,20.93295479,2020-05-06
5/7/2020,21.61651772,21.82957559,21.26142126,21.35907173,10125600,21.35907173,2020-05-07
5/8/2020,21.90604401,21.93339126,21.61432661,21.90604401,8177100,21.90604401,2020-05-08
5/11/2020,21.48670229,21.6234438,21.3226118,21.42288971,6961700,21.42288971,2020-05-11
5/12/2020,21.63255642,21.72371799,21.0217762,21.0217762,10151300,21.0217762,2020-05-12
5/13/2020,21.04912765,21.11294023,20.16486437,20.26514053,10590400,20.26514053,2020-05-13
5/14/2020,19.82756769,20.31983917,19.32618161,20.18309593,10762400,20.18309593,2020-05-14
5/15/2020,19.86403115,20.29248827,19.709057,19.8913784,11161100,19.8913784,2020-05-15
5/18/2020,21.24967989,21.76929856,21.23144896,21.43200302,16729400,21.43200302,2020-05-18
5/19/2020,21.60521098,21.60521098,20.88503647,20.88503647,14223600,20.88503647,2020-05-19
5/20/2020,21.46846566,21.61432346,21.27702794,21.53227997,10497600,21.53227997,2020-05-20
5/21/2020,21.63255643,21.80576323,21.06735786,21.31349182,10641700,21.31349182,2020-05-21
5/22/2020,20.94884872,20.99443038,20.56597152,20.94884872,7943300,20.94884872,2020-05-22
5/26/2020,21.28614489,21.36819013,21.10382176,21.20409966,10086800,21.20409966,2020-05-26
5/27/2020,21.96985644,22.04278535,21.40465605,21.81488228,9544500,21.81488228,2020-05-27
5/28/2020,21.69636933,21.71460199,21.158518,21.20409966,8673900,21.20409966,2020-05-28
5/29/2020,20.83945528,21.18586715,20.71182839,21.09470558,10202400,21.09470558,2020-05-29
6/1/2020,21.10382469,21.79665026,20.97619953,21.73283768,10749700,21.73283768,2020-06-01
6/2/2020,22.53505215,22.78118786,22.434776,22.74472427,13095800,22.74472427,2020-06-02
6/3/2020,23.40108553,23.70191749,23.2916913,23.61075592,12323500,23.61075592,2020-06-03
6/4/2020,23.36461926,23.55605872,23.0182074,23.41931725,8651800,23.41931725,2020-06-04
6/5/2020,24.84143194,25.47044483,24.84143194,25.26077271,18396600,25.26077271,2020-06-05
6/8/2020,25.93536774,26.04476023,25.3975164,25.87155342,13501700,25.87155342,2020-06-08
6/9/2020,25.10579838,25.16049462,24.64999233,24.92347527,11900500,24.92347527,2020-06-09
6/10/2020,24.51325082,24.60441238,23.95716857,24.0483284,9728700,24.0483284,2020-06-10
6/11/2020,22.86323339,23.14583268,21.9060413,21.94250488,14777900,21.94250488,2020-06-11
6/12/2020,22.79030578,23.01820884,22.07013129,22.56240273,11725100,22.56240273,2020-06-12
6/15/2020,21.39553877,22.41654525,21.17675204,22.20687485,12731300,22.20687485,2020-06-15
6/16/2020,22.7538382,22.98174124,22.0701291,22.38007736,14347700,22.38007736,2020-06-16
6/17/2020,22.24333487,22.30714744,21.60520744,21.60520744,12144200,21.60520744,2020-06-17
6/18/2020,21.36818919,21.72371737,21.21321505,21.59609222,8845500,21.59609222,2020-06-18
6/19/2020,22.07012954,22.11571119,21.47758198,21.57785988,10187300,21.57785988,2020-06-19
6/22/2020,21.6052092,21.87869215,21.49581497,21.76018333,8944100,21.76018333,2020-06-22
6/23/2020,22.27068792,22.3071515,21.97897227,22.03366852,9041700,22.03366852,2020-06-23
6/24/2020,21.65990591,21.65990591,20.97619676,21.09470558,9409500,21.09470558,2020-06-24
6/25/2020,20.94885088,21.42288971,20.84857471,21.42288971,7767700,21.42288971,2020-06-25
6/26/2020,21.31349541,21.34996073,20.65713516,20.74829674,9168300,20.74829674,2020-06-26
6/29/2020,21.25879763,21.55962961,21.09470715,21.40465546,10671100,21.40465546,2020-06-29
6/30/2020,20.93973207,21.34084193,20.71182901,21.25879669,10279700,21.25879669,2020-06-30
7/1/2020,21.26791206,21.55051135,21.13117058,21.15851784,7641100,21.15851784,2020-07-01
7/2/2020,21.55051168,21.75106748,21.22233247,21.34084129,6507000,21.34084129,2020-07-02
7/6/2020,21.57786131,21.81488069,21.36819091,21.55051231,7313000,21.55051231,2020-07-06
7/7/2020,21.36819255,21.41377247,20.97619899,20.98531532,6379300,20.98531532,2020-07-07
7/8/2020,20.98531278,21.30437739,20.87591855,21.11293793,6934100,21.11293793,2020-07-08
7/9/2020,20.8759182,20.93061445,20.08281659,20.10104752,12854200,20.10104752,2020-07-09
7/10/2020,20.11016511,20.49304231,20.08281785,20.47480965,12842100,20.47480965,2020-07-10
7/13/2020,20.64801646,20.85768685,20.4201134,20.47480965,10344500,20.47480965,2020-07-13
7/14/2020,20.5203939,21.24968307,20.43834865,21.22233582,9389700,21.22233582,2020-07-14
7/15/2020,21.59609381,21.75106795,21.44111966,21.7054863,10738200,21.7054863,2020-07-15
7/16/2020,21.64167436,21.87869375,21.5140492,21.6234417,8327200,21.6234417,2020-07-16
7/17/2020,21.58697409,21.60520675,21.1585153,21.19498062,9034300,21.19498062,2020-07-17
7/20/2020,21.17675066,21.34995747,20.9032677,20.91238403,7636200,20.91238403,2020-07-20
7/21/2020,21.34084253,22.31626736,21.28614628,21.96073914,13611500,21.96073914,2020-07-21
7/22/2020,21.53228012,21.55962737,21.19498286,21.37730598,8184500,21.37730598,2020-07-22
7/23/2020,21.0673588,21.25879653,20.98531356,21.16763496,9070500,21.16763496,2020-07-23
7/24/2020,20.94884873,21.21321711,20.88503615,20.90326881,10917900,20.90326881,2020-07-24
7/27/2020,20.9579641,21.09470558,20.81210629,21.09470558,7307800,21.09470558,2020-07-27
7/28/2020,20.9214986,21.1402853,20.79387172,20.80298805,10691300,20.80298805,2020-07-28
7/29/2020,20.93061558,21.17675129,20.83033942,21.16763496,6652500,21.16763496,2020-07-29
7/30/2020,20.78475843,20.87592001,20.26513973,20.45657921,10342400,20.45657921,2020-07-30
7/31/2020,20.22867761,20.31072286,19.82756771,20.09193611,11132200,20.09193611,2020-07-31
8/3/2020,20.02811988,20.21955935,19.90961106,20.13751411,11781300,20.13751411,2020-08-03
8/4/2020,21.30437849,21.87869343,21.13117168,21.64167404,28004500,21.64167404,2020-08-04
8/5/2020,22.34361701,22.36184967,21.6872568,21.83311462,15080000,21.83311462,2020-08-05
8/6/2020,21.31349214,21.56874418,21.158518,21.20409966,12136100,21.20409966,2020-08-06
8/7/2020,20.6206695,20.95796506,20.53862426,20.94884872,10627000,20.94884872,2020-08-07
8/10/2020,21.26791554,21.42288971,21.19498663,21.42288971,12578500,21.42288971,2020-08-10
8/11/2020,22.0883635,22.1886414,21.61432473,21.7054863,11536400,21.7054863,2020-08-11
8/12/2020,22.30715086,22.43477775,22.05190054,22.11571312,10272700,22.11571312,2020-08-12
8/13/2020,22.17574543,22.2034542,21.60310983,21.65852737,10192400,21.65852737,2020-08-13
8/14/2020,21.29832323,21.46457236,21.09513084,21.23367119,10304000,21.23367119,2020-08-14
8/17/2020,21.26138045,21.31679624,20.81805062,21.01200676,12287400,21.01200676,2020-08-17
8/18/2020,20.81804927,21.11360247,20.61485512,20.65180016,12027600,20.65180016,2020-08-18
8/19/2020,20.61485433,20.85499174,20.47631399,20.54096603,7528600,20.54096603,2020-08-19
8/20/2020,20.31929938,20.40242393,20.18075906,20.28235435,9597300,20.28235435,2020-08-20
8/21/2020,20.02374888,20.05145589,19.72819568,19.82055473,12047400,19.82055473,2020-08-21
8/24/2020,20.24541179,20.48554919,20.11610772,20.23617554,13287900,20.23617554,2020-08-24
8/25/2020,20.49478859,20.5224956,19.86673712,19.9683342,10788200,19.9683342,2020-08-25
8/26/2020,19.85749928,19.94062384,19.69125017,19.74666595,7356600,19.74666595,2020-08-26
8/27/2020,19.87597228,19.89444479,19.43264247,19.52500153,10231000,19.52500153,2020-08-27
8/28/2020,19.70972269,19.82979051,19.53423732,19.74666595,7871900,19.74666595,2020-08-28
8/31/2020,19.75590243,19.78361121,19.31257264,19.33104515,7775700,19.33104515,2020-08-31
9/1/2020,19.31257167,19.53423656,19.1093793,19.18326759,11397700,19.18326759,2020-09-01
9/2/2020,19.10937993,19.21097524,18.94313082,18.9985466,12777000,18.9985466,2020-09-02
9/3/2020,19.02625759,19.47882369,18.93389677,19.03549385,13144900,19.03549385,2020-09-03
9/4/2020,19.37722523,19.39569775,18.75841004,18.97084045,11604600,18.97084045,2020-09-04
9/8/2020,18.81382415,18.90618319,18.43514469,18.61063004,13793400,18.61063004,2020-09-08
9/9/2020,19.09090684,19.12785011,18.72146536,18.76764488,11437500,18.76764488,2020-09-09
9/10/2020,18.98931015,19.02625518,18.370495,18.38896751,13894700,18.38896751,2020-09-10
9/11/2020,18.51826962,18.69375497,18.32431352,18.52750587,10331700,18.52750587,2020-09-11
9/14/2020,18.58292596,18.58292596,18.28737099,18.32431602,9731200,18.32431602,2020-09-14
9/15/2020,18.41667571,18.61986808,18.13035702,18.1580658,12800900,18.1580658,2020-09-15
9/16/2020,18.24119211,18.70299444,18.05647047,18.43514824,14637100,18.43514824,2020-09-16
9/17/2020,18.16730333,18.28737116,17.94563843,18.06570625,15839000,18.06570625,2020-09-17
9/18/2020,17.76091647,17.83480476,17.42842,17.4376545,19415800,17.4376545,2020-09-18
9/21/2020,16.91119869,17.0035595,16.72647884,16.92043495,17000200,16.92043495,2020-09-21
9/22/2020,17.40071267,17.53001677,16.93891032,17.06821442,10344100,17.06821442,2020-09-22
9/23/2020,17.23446333,17.27140836,16.56946858,16.5971756,12163900,16.5971756,2020-09-23
9/24/2020,16.77266082,16.77266082,16.35703801,16.56023216,16710500,16.56023216,2020-09-24
9/25/2020,16.48634441,16.55099646,16.29238651,16.49558067,14525300,16.49558067,2020-09-25
9/28/2020,16.8373115,16.94814483,16.72647993,16.79113197,14455400,16.79113197,2020-09-28
9/29/2020,16.57870307,16.58793757,16.22773234,16.32009315,14968900,16.32009315,2020-09-29
9/30/2020,16.36627421,16.44016251,16.02454146,16.12613678,16196100,16.12613678,2020-09-30
10/1/2020,15.73822363,15.83981894,15.47961371,15.54426575,18172600,15.54426575,2020-10-01
