,Open,High,Low,Close,Volume,Adj. Close,Date
2021-10-14,28.960278223072873,29.02876506805645,28.725465383360646,28.813520431518555,9777500,28.813520431518555,2021-10-14
2021-10-15,29.322280444487266,29.459255999615518,29.214659060040166,29.283145904541016,11813100,29.283145904541016,2021-10-15
2021-10-18,29.3027124878349,29.322278823663193,28.960276418132665,29.06789779663086,9172500,29.06789779663086,2021-10-18
2021-10-19,29.273361479516527,29.371200627490737,29.136387792028557,29.214658737182617,6069400,29.214658737182617,2021-10-19
2021-10-20,29.136388481308977,29.635366468267897,29.01898112773711,29.478822708129883,6858900,29.478822708129883,2021-10-20
2021-10-21,29.24400909857141,29.34184824628896,28.647193843134758,28.803735733032227,9281900,28.803735733032227,2021-10-21
2021-10-22,28.803736056058238,28.950493846217146,28.53957091409627,28.872222900390625,8098900,28.872222900390625,2021-10-22
2021-10-25,29.204873344187625,29.292928386857525,28.930924115200547,29.06789779663086,6590800,29.06789779663086,2021-10-25
2021-10-26,29.155954428538966,29.17552263156034,28.793952003276342,28.999412536621094,7329400,28.999412536621094,2021-10-26
2021-10-27,28.62762582202755,29.097251494700046,28.549354876582132,28.617841720581055,10507000,28.617841720581055,2021-10-27
2021-10-28,28.490652249861068,28.637410039902065,28.25583754644362,28.588489532470703,8716700,28.588489532470703,2021-10-28
2021-10-29,28.353676062896785,28.490651614523518,28.011239983019706,28.167783737182617,11075700,28.167783737182617,2021-10-29
2021-11-01,28.559138862156754,28.745031190506317,28.431947409994915,28.647193908691406,10519900,28.647193908691406,2021-11-01
2021-11-02,27.756861979293195,27.805780621559865,27.31658673438684,27.33615493774414,18798700,27.33615493774414,2021-11-02
2021-11-03,26.876311289124434,26.954582235843567,26.63171434736133,26.67085075378418,16392200,26.67085075378418,2021-11-03
2021-11-04,27.052420503407795,27.2383146955999,26.582794838410745,26.719768524169922,12463800,26.719768524169922,2021-11-04
2021-11-05,27.32636931636282,27.345937518631874,26.974149140025773,27.248098373413086,8295300,27.248098373413086,2021-11-05
2021-11-08,27.453559435416715,27.68837226885515,27.23831480462978,27.414424896240234,8086700,27.414424896240234,2021-11-08
2021-11-09,27.531829603905187,27.61010054617858,27.120906690438254,27.590534210205078,7522700,27.590534210205078,2021-11-09
