,Open,High,Low,Close,Volume,Adj. Close,Date
2021-05-03,148.43664931534525,149.19321636146836,145.94091661288113,147.3066864013672,2636400,147.3066864013672,2021-05-03
2021-05-04,146.2946570185455,149.72382726979325,145.2236607054495,149.37010192871094,4227200,149.37010192871094,2021-05-04
2021-05-05,150.15615924203058,151.77739163566116,148.81002989823378,150.9225616455078,3118700,150.9225616455078,2021-05-05
2021-05-06,152.29814194692156,153.78181522267107,149.85154059178276,153.71304321289062,3664300,153.71304321289062,2021-05-06
2021-05-07,151.00114156546448,155.22618972069344,150.55898867553756,154.96090698242188,2480700,154.96090698242188,2021-05-07
2021-05-10,156.3659731277912,157.5745283597713,154.5580504243269,154.63665771484375,3298300,154.63665771484375,2021-05-10
2021-05-11,152.1114483249524,154.1944890381025,150.5884639387422,152.06231689453125,4332000,152.06231689453125,2021-05-11
2021-05-12,153.18244678462085,154.0471119957121,149.64520863460777,150.30352783203125,3298000,150.30352783203125,2021-05-12
2021-05-13,149.5862523863405,154.46961963631017,149.35043051968827,153.56564331054688,2952900,153.56564331054688,2021-05-13
2021-05-14,154.6393919384922,156.88539547045127,154.4817889949324,155.75254821777344,2855700,155.75254821777344,2021-05-14
2021-05-17,155.67375583596035,158.0872230868977,155.2206228990648,157.515869140625,2229500,157.515869140625,2021-05-17
2021-05-18,156.91495341834425,158.45170618932295,154.49164083844025,154.57044982910156,2247700,154.57044982910156,2021-05-18
2021-05-19,151.8220333914368,154.99402371286354,150.5808256692044,154.80685424804688,3298100,154.80685424804688,2021-05-19
2021-05-20,155.289567774485,156.63913609740376,153.31938801838584,155.45703125,2893400,155.45703125,2021-05-20
2021-05-21,156.22539514767155,159.90963658481206,156.02838018462876,156.6785430908203,3552000,156.6785430908203,2021-05-21
2021-05-24,157.60453585892267,159.2693251356209,156.96421841593528,158.34335327148438,2087700,158.34335327148438,2021-05-24
2021-05-25,159.06245812694686,160.05739345696182,155.77226165934587,155.8609161376953,2670200,155.8609161376953,2021-05-25
2021-05-26,156.944520696952,158.10691949442088,155.62448888612442,157.45675659179688,3143500,157.45675659179688,2021-05-26
2021-05-27,159.43680356612543,160.3233784482587,157.94930822286975,159.377685546875,3488600,159.377685546875,2021-05-27
2021-05-28,159.41709885659967,159.82098931939714,156.84601363996245,158.38275146484375,3365300,158.38275146484375,2021-05-28
2021-06-01,162.8058105731187,164.1455334267782,161.29862424166157,163.7711944580078,4188000,163.7711944580078,2021-06-01
2021-06-02,164.51000479780035,164.90403472492451,162.5102736066527,163.44610595703125,3099400,163.44610595703125,2021-06-02
2021-06-03,162.59892113872357,164.84492469618561,161.86010378347217,163.81057739257812,2513400,163.81057739257812,2021-06-03
2021-06-04,164.5789717979369,165.49509816203448,162.56938004559623,163.78103637695312,2886600,163.78103637695312,2021-06-04
2021-06-07,161.06219269587766,162.84520294395895,160.16575731250998,161.1114501953125,3223800,161.1114501953125,2021-06-07
2021-06-08,160.27409841251298,161.39710011991218,158.63884582925272,160.30364990234375,3513500,160.30364990234375,2021-06-08
2021-06-09,160.1756086919011,160.19529966552875,156.9248093213037,158.20542907714844,3284500,158.20542907714844,2021-06-09
2021-06-10,160.55980082776003,161.41682419133437,156.23525696690655,156.3731689453125,3710600,156.3731689453125,2021-06-10
2021-06-11,156.82630711731719,158.29409646126678,156.72780714731337,158.2546844482422,3826800,158.2546844482422,2021-06-11
2021-06-14,158.00840184814444,158.40244679673822,154.82656592354863,156.34361267089844,3372800,156.34361267089844,2021-06-14
2021-06-15,157.00362577683325,160.2741162766048,156.35346286553613,159.6929168701172,2789400,159.6929168701172,2021-06-15
2021-06-16,159.03290756090428,160.87502076775309,157.40750029196863,159.7815704345703,3140800,159.7815704345703,2021-06-16
2021-06-17,161.03264921101427,161.15085519051382,149.172158246104,151.26055908203125,4308500,151.26055908203125,2021-06-17
2021-06-18,147.3694367046864,148.19690851015736,145.32044816403658,147.78317260742188,8383600,147.78317260742188,2021-06-18
2021-06-21,149.29036991171625,152.6790814038523,148.96528845716247,152.58056640625,2875000,152.58056640625,2021-06-21
2021-06-22,151.99936700171966,153.58536226293643,150.57098972415534,152.58056640625,2363900,152.58056640625,2021-06-22
2021-06-23,153.28983503601725,155.26001477298487,152.7283265959678,154.0384979248047,2032200,154.0384979248047,2021-06-23
2021-06-24,155.24031780705053,155.81167176779653,153.08296846443633,155.2206268310547,2077500,155.2206268310547,2021-06-24
2021-06-25,158.14631007071557,159.58454779422811,157.40749271981636,157.60452270507812,4238200,157.60452270507812,2021-06-25
2021-06-28,157.03317110910297,157.6242159796843,152.9745908476448,153.67401123046875,2693100,153.67401123046875,2021-06-28
2021-06-29,155.02358350893465,155.95943088315326,151.52652659748733,151.85159301757812,2151000,151.85159301757812,2021-06-29
2021-06-30,151.39845511311637,152.90564131801486,151.32949161149003,152.383544921875,2631800,152.383544921875,2021-06-30
2021-07-01,153.21101360070844,155.70328956307557,152.816983697825,154.80685424804688,3354200,154.80685424804688,2021-07-01
2021-07-02,155.34866105471914,156.58002332533562,154.80685864939235,155.05313110351562,2247700,155.05313110351562,2021-07-02
2021-07-06,154.4226652045713,155.03343107639975,151.84173484608363,153.18145751953125,3566700,153.18145751953125,2021-07-06
2021-07-07,151.31964604992635,154.37343046808087,150.85665263753629,152.7283172607422,3042300,152.7283172607422,2021-07-07
2021-07-08,149.63513517932185,152.57071361706,147.22166816635425,150.18679809570312,3313700,150.18679809570312,2021-07-08
2021-07-09,153.06327590465517,158.52066742362715,153.03372440968784,158.15618896484375,3638900,158.15618896484375,2021-07-09
2021-07-12,156.80660167405193,162.9732740132911,155.723011812445,162.39207458496094,3250200,162.39207458496094,2021-07-12
2021-07-13,162.39207336764156,162.835360809125,160.21501811053747,160.4120330810547,2536700,160.4120330810547,2021-07-13
2021-07-14,160.63860521719172,162.53982136726208,155.27971415619996,156.47166442871094,4190900,156.47166442871094,2021-07-14
2021-07-15,154.32416852879365,158.24482164409275,153.95967508895708,157.9591522216797,3069700,157.9591522216797,2021-07-15
2021-07-16,159.23976702947533,159.23986702947533,154.73791426546234,155.17135620117188,1955100,155.17135620117188,2021-07-16
2021-07-19,151.16203838448837,152.5017612163776,148.64021070829187,151.3196563720703,3757400,151.3196563720703,2021-07-19
2021-07-20,150.67935603955874,156.86571934015527,150.16710508850585,155.62449645996094,3306200,155.62449645996094,2021-07-20
2021-07-21,157.23020525282098,161.94877943149592,157.0233297525419,160.7765350341797,2508500,160.7765350341797,2021-07-21
2021-07-22,159.78157946531462,160.64846339107598,156.33376480039172,159.02305603027344,2966600,159.02305603027344,2021-07-22
2021-07-23,154.65911286080083,161.801014569341,154.25522239805233,157.6931915283203,3516300,157.6931915283203,2021-07-23
2021-07-26,157.66364531707237,160.56965758614862,157.61438781462442,159.91949462890625,2055900,159.91949462890625,2021-07-26
2021-07-27,157.56512169872366,161.21981173015095,156.76720130903593,160.1165008544922,2168000,160.1165008544922,2021-07-27
2021-07-28,160.6090501540572,161.10159510243741,157.49617750406625,158.98365783691406,2314800,158.98365783691406,2021-07-28
2021-07-29,161.06218926893172,162.88461149029632,160.48098986929062,161.46607971191406,2587900,161.46607971191406,2021-07-29
2021-07-30,160.72725443699682,162.62847052488215,158.24482394673439,159.2890167236328,2661400,159.2890167236328,2021-07-30
2021-08-02,160.7075571481643,163.43626023497714,156.5504767884809,157.712890625,3934600,157.712890625,2021-08-02
2021-08-03,158.648732087923,159.64366747996888,153.14208313059595,159.02305603027344,2868200,159.02305603027344,2021-08-03
2021-08-04,157.8902009757398,161.72219991574994,156.72780216024222,158.78663635253906,2722800,158.78663635253906,2021-08-04
2021-08-05,159.80128228811196,161.50548357977374,159.80118228811196,160.75682067871094,2749500,160.75682067871094,2021-08-05
2021-08-06,163.5950287218006,166.23476704833476,163.00950879137125,164.6866455078125,3394500,164.6866455078125,2021-08-06
2021-08-09,163.58512123105783,165.87753350393498,161.88814740372507,164.9447021484375,2239500,164.9447021484375,2021-08-09
2021-08-10,164.9446889519124,169.98600277897177,164.83552575038394,169.3707275390625,3442500,169.3707275390625,2021-08-10
2021-08-11,169.6982287129406,173.6082371072757,168.54705580790852,173.22120666503906,3880500,173.22120666503906,2021-08-11
2021-08-12,173.17156004975814,175.82123195947884,172.08986167565476,175.5830535888672,3274300,175.5830535888672,2021-08-12
2021-08-13,175.83116762054902,176.5953100513898,174.4517499335816,176.37698364257812,2368300,176.37698364257812,2021-08-13
2021-08-16,174.6601496414546,176.36705686072446,173.8463848576186,175.97010803222656,2115000,175.97010803222656,2021-08-16
2021-08-17,173.93571728188562,175.18611976363061,170.12493873930651,171.9608612060547,2791000,171.9608612060547,2021-08-17
2021-08-18,171.0180868258299,174.2830340287891,169.96615882383014,170.71044921875,1759900,170.71044921875,2021-08-18
2021-08-19,167.83252129989856,170.28371893739364,165.67904285604044,166.82029724121094,2478500,166.82029724121094,2021-08-19
2021-08-20,166.89968811814484,167.8325345988998,164.20040860512722,166.93939208984375,2595700,166.93939208984375,2021-08-20
2021-08-23,168.13025025068248,169.89669838811346,167.69359742702483,168.060791015625,2019400,168.060791015625,2021-08-23
2021-08-24,168.5966618005247,170.40281378367953,168.16000900711907,168.7554473876953,1668400,168.7554473876953,2021-08-24
