,Open,High,Low,Close,Volume,Adj. Close,Date
2021-05-03,187.69000244140625,189.22000122070312,185.25,185.50999450683594,7542800,185.50999450683594,2021-05-03
2021-05-04,184.8699951171875,185.6300048828125,182.30999755859375,184.25,7069300,184.25,2021-05-04
2021-05-05,185.00999450683594,185.01009450683594,181.36000061035156,181.50999450683594,5901700,181.50999450683594,2021-05-05
2021-05-06,182.77999877929688,182.99000549316406,179.80999755859375,181.7899932861328,6944900,181.7899932861328,2021-05-06
2021-05-07,182.0,185.1199951171875,181.50999450683594,184.83999633789062,6888400,184.83999633789062,2021-05-07
2021-05-10,185.6999969482422,186.97000122070312,184.02999877929688,184.3000030517578,8260300,184.3000030517578,2021-05-10
2021-05-11,181.8000030517578,182.25,178.42999267578125,181.6699981689453,10865600,181.6699981689453,2021-05-11
2021-05-12,180.6999969482422,182.4600067138672,177.5800018310547,177.85000610351562,8988100,177.85000610351562,2021-05-12
2021-05-13,178.3699951171875,180.75,175.8000030517578,178.33999633789062,12332200,178.33999633789062,2021-05-13
2021-05-14,172.92999267578125,174.91000366210938,168.77999877929688,173.6999969482422,33149400,173.6999969482422,2021-05-14
2021-05-17,172.6999969482422,172.99000549316406,168.57000732421875,170.0800018310547,17771600,170.0800018310547,2021-05-17
2021-05-18,170.25999450683594,171.25999450683594,169.4499969482422,169.67999267578125,10401000,169.67999267578125,2021-05-18
2021-05-19,167.7100067138672,169.39999389648438,167.10000610351562,169.27000427246094,9251000,169.27000427246094,2021-05-19
2021-05-20,169.2100067138672,171.89999389648438,168.97999572753906,171.36000061035156,7400700,171.36000061035156,2021-05-20
2021-05-21,172.22000122070312,173.1199951171875,171.52000427246094,172.39999389648438,8105700,172.39999389648438,2021-05-21
2021-05-24,172.4499969482422,175.11000061035156,171.75,174.30999755859375,7346700,174.30999755859375,2021-05-24
2021-05-25,175.60000610351562,177.4499969482422,175.39999389648438,176.1699981689453,8089700,176.1699981689453,2021-05-25
2021-05-26,176.6199951171875,177.89999389648438,176.1999969482422,176.47000122070312,8086200,176.47000122070312,2021-05-26
2021-05-27,177.1999969482422,179.58999633789062,176.7899932861328,179.0399932861328,13567800,179.0399932861328,2021-05-27
2021-05-28,179.50999450683594,180.13999938964844,178.0800018310547,178.64999389648438,7124800,178.64999389648438,2021-05-28
2021-06-01,180.17999267578125,181.00999450683594,178.74000549316406,178.83999633789062,7475600,178.83999633789062,2021-06-01
2021-06-02,179.0399932861328,179.10000610351562,176.92999267578125,177.0,7851700,177.0,2021-06-02
2021-06-03,176.27000427246094,176.97000122070312,175.4199981689453,176.24000549316406,5583900,176.24000549316406,2021-06-03
