,Open,High,Low,Close,Volume,Adj. Close,Date
2018-01-02,21.226648330688477,25.494504928588867,21.226548330688477,24.851648330688477,10683400,24.851648330688477,2018-01-02
2018-01-03,26.373626708984375,26.85714340209961,24.48879051208496,24.78022003173828,7653100,24.78022003173828,2018-01-03
2018-01-04,24.175823211669922,25.03351593017578,23.08791160583496,24.21977996826172,4904900,24.21977996826172,2018-01-04
2018-01-05,26.686758041381836,27.208791732788086,25.494504928588867,25.690988540649414,7352800,25.690988540649414,2018-01-05
2018-01-08,23.841209411621094,25.19890022277832,22.30769157409668,24.227802276611328,7962500,24.227802276611328,2018-01-08
2018-01-09,22.63736343383789,24.615385055541992,22.63726343383789,23.736263275146484,4768400,23.736263275146484,2018-01-09
2018-01-10,23.296703338623047,23.35549545288086,21.483516693115234,21.54945182800293,9746100,21.54945182800293,2018-01-10
2018-01-11,20.625934600830078,21.14285659790039,18.52747344970703,18.769285202026367,12248600,18.769285202026367,2018-01-11
2018-01-12,19.791208267211914,21.846153259277344,19.791108267211914,21.648351669311523,8526700,21.648351669311523,2018-01-12
2018-01-16,18.131868362426758,20.23065948486328,18.131768362426758,19.076923370361328,10055500,19.076923370361328,2018-01-16
2018-01-17,16.868131637573242,18.21428680419922,15.593406677246094,17.9780216217041,15652000,17.9780216217041,2018-01-17
2018-01-18,19.96703338623047,20.538461685180664,19.505495071411133,20.406593322753906,8599500,20.406593322753906,2018-01-18
2018-01-19,20.85714340209961,20.934066772460938,18.916154861450195,19.42890167236328,6752200,19.42890167236328,2018-01-19
2018-01-22,18.593955993652344,19.068681716918945,17.69230842590332,18.52747344970703,4531800,18.52747344970703,2018-01-22
2018-01-23,18.19230842590332,18.868131637573242,17.69230842590332,18.16098976135254,5423600,18.16098976135254,2018-01-23
2018-01-24,18.670330047607422,19.043956756591797,18.131868362426758,18.352197647094727,3166800,18.352197647094727,2018-01-24
2018-01-25,18.38736343383789,18.63736343383789,18.145933151245117,18.516483306884766,2356900,18.516483306884766,2018-01-25
