,Open,High,Low,Close,Volume,Adj. Close,Date
2020-06-01,162.9199981689453,163.74000549316406,162.38999938964844,163.66000366210938,8140200,163.66000366210938,2020-06-01
2020-06-02,163.88999938964844,164.0800018310547,161.86000061035156,162.60000610351562,10388900,162.60000610351562,2020-06-02
2020-06-03,160.33999633789062,160.89999389648438,158.82000732421875,159.60000610351562,17000500,159.60000610351562,2020-06-03
2020-06-04,161.13999938964844,161.8699951171875,159.83999633789062,161.27999877929688,10094000,161.27999877929688,2020-06-04
2020-06-05,158.72000122070312,158.72010122070313,157.0399932861328,158.00999450683594,16021200,158.00999450683594,2020-06-05
2020-06-08,158.89999389648438,159.86000061035156,158.47000122070312,159.72000122070312,9244400,159.72000122070312,2020-06-08
2020-06-09,161.10000610351562,161.77999877929688,160.8699951171875,161.25999450683594,9045600,161.25999450683594,2020-06-09
2020-06-10,162.10000610351562,163.6300048828125,160.52000427246094,163.57000732421875,13009300,163.57000732421875,2020-06-10
2020-06-11,163.35000610351562,164.05999755859375,161.97000122070312,162.38999938964844,11673900,162.38999938964844,2020-06-11
2020-06-12,163.41000366210938,163.8800048828125,162.55999755859375,162.6199951171875,6895400,162.6199951171875,2020-06-12
2020-06-15,160.52000427246094,162.55999755859375,160.16000366210938,162.3300018310547,8532500,162.3300018310547,2020-06-15
2020-06-16,161.85000610351562,162.69000244140625,161.36000061035156,162.25,7964000,162.25,2020-06-16
2020-06-17,162.0,162.6199951171875,161.77000427246094,162.55999755859375,4758200,162.55999755859375,2020-06-17
2020-06-18,162.1999969482422,162.32000732421875,161.44000244140625,162.24000549316406,5397600,162.24000549316406,2020-06-18
2020-06-19,162.8699951171875,164.08999633789062,162.77999877929688,164.02999877929688,12187400,164.02999877929688,2020-06-19
2020-06-22,165.05999755859375,165.72999572753906,164.41000366210938,165.08999633789062,12385600,165.08999633789062,2020-06-22
2020-06-23,165.6300048828125,166.52000427246094,165.52000427246094,166.47999572753906,12137300,166.47999572753906,2020-06-23
2020-06-24,166.00999450683594,166.99000549316406,165.4499969482422,165.89999389648438,10901400,165.89999389648438,2020-06-24
2020-06-25,165.88999938964844,165.91000366210938,165.16000366210938,165.8000030517578,7093800,165.8000030517578,2020-06-25
2020-06-26,164.8699951171875,166.55999755859375,164.22000122070312,166.5399932861328,9753500,166.5399932861328,2020-06-26
2020-06-29,166.55999755859375,166.8000030517578,166.17999267578125,166.6300048828125,6735700,166.6300048828125,2020-06-29
2020-06-30,166.30999755859375,167.99000549316406,166.19000244140625,167.3699951171875,12762300,167.3699951171875,2020-06-30
2020-07-01,167.0500030517578,167.05999755859375,165.33999633789062,166.6199951171875,13214800,166.6199951171875,2020-07-01
2020-07-02,166.1999969482422,167.24000549316406,166.02000427246094,166.97999572753906,8753500,166.97999572753906,2020-07-02
2020-07-06,167.75,168.0,167.19000244140625,167.97999572753906,7265700,167.97999572753906,2020-07-06
2020-07-07,167.41000366210938,169.04009328613282,167.3800048828125,169.0399932861328,11633100,169.0399932861328,2020-07-07
2020-07-08,170.32000732421875,170.86000061035156,169.77999877929688,170.08999633789062,11662700,170.08999633789062,2020-07-08
2020-07-09,170.47999572753906,170.63999938964844,168.77999877929688,169.6300048828125,13327400,169.6300048828125,2020-07-09
2020-07-10,169.9499969482422,170.14999389648438,168.57000732421875,169.19000244140625,8218000,169.19000244140625,2020-07-10
2020-07-13,170.2899932861328,170.4199981689453,169.16000366210938,169.39999389648438,11095900,169.39999389648438,2020-07-13
2020-07-14,168.97000122070312,170.1999969482422,168.80999755859375,170.19000244140625,9812700,170.19000244140625,2020-07-14
2020-07-15,169.6199951171875,170.42999267578125,169.38999938964844,170.33999633789062,7533800,170.33999633789062,2020-07-15
2020-07-16,169.8000030517578,170.0,168.64999389648438,168.72999572753906,10242400,168.72999572753906,2020-07-16
2020-07-17,169.94000244140625,170.27000427246094,169.61000061035156,170.1199951171875,10296000,170.1199951171875,2020-07-17
2020-07-20,170.75999450683594,171.07000732421875,170.27000427246094,170.94000244140625,10095500,170.94000244140625,2020-07-20
2020-07-21,172.52999877929688,173.25,172.30999755859375,173.0,12826100,173.0,2020-07-21
2020-07-22,174.0500030517578,175.77000427246094,173.75999450683594,175.6300048828125,18712500,175.6300048828125,2020-07-22
2020-07-23,176.1699981689453,178.41000366210938,175.64999389648438,177.17999267578125,23006800,177.17999267578125,2020-07-23
2020-07-24,179.13999938964844,179.16000366210938,178.1999969482422,178.6999969482422,15601300,178.6999969482422,2020-07-24
2020-07-27,181.85000610351562,182.8300018310547,181.52999877929688,182.22999572753906,21115600,182.22999572753906,2020-07-27
2020-07-28,182.02000427246094,184.25999450683594,181.4199981689453,183.75,21164600,183.75,2020-07-28
2020-07-29,184.00999450683594,186.13999938964844,182.38999938964844,185.1300048828125,25640100,185.1300048828125,2020-07-29
2020-07-30,183.44000244140625,184.3300018310547,182.1300048828125,183.75999450683594,18061200,183.75999450683594,2020-07-30
2020-07-31,184.50999450683594,185.75,184.1699981689453,185.42999267578125,15876700,185.42999267578125,2020-07-31
2020-08-03,185.0500030517578,185.82000732421875,184.1999969482422,185.63999938964844,12897000,185.63999938964844,2020-08-03
2020-08-04,185.61000061035156,189.60000610351562,185.2100067138672,189.58999633789062,20773200,189.58999633789062,2020-08-04
2020-08-05,191.64999389648438,193.1300048828125,190.6199951171875,191.35000610351562,27078100,191.35000610351562,2020-08-05
2020-08-06,193.74000549316406,194.4499969482422,192.52000427246094,193.88999938964844,20640100,193.88999938964844,2020-08-06
2020-08-07,192.7100067138672,192.9600067138672,189.3300018310547,190.80999755859375,24570200,190.80999755859375,2020-08-07
2020-08-10,191.1999969482422,192.61000061035156,189.66000366210938,190.14999389648438,19047200,190.14999389648438,2020-08-10
2020-08-11,183.57000732421875,183.97999572753906,179.42999267578125,179.94000244140625,45355000,179.94000244140625,2020-08-11
