,Open,High,Low,Close,Volume,Adj. Close,Date
2021-04-19,171.8000030517578,175.1999969482422,162.3300018310547,164.3699951171875,10520200,164.3699951171875,2021-04-19
2021-04-20,164.13999938964844,164.88999938964844,153.36000061035156,158.52999877929688,4658600,158.52999877929688,2021-04-20
2021-04-21,158.39999389648438,162.97999572753906,155.9199981689453,158.50999450683594,3812800,158.50999450683594,2021-04-21
2021-04-22,159.10000610351562,159.10010610351563,146.86000061035156,151.1699981689453,4345800,151.1699981689453,2021-04-22
2021-04-23,149.0,153.66000366210938,144.6999969482422,151.17999267578125,4029100,151.17999267578125,2021-04-23
2021-04-26,150.97999572753906,174.67999267578125,148.75999450683594,168.92999267578125,10532100,168.92999267578125,2021-04-26
2021-04-27,183.5500030517578,188.0,173.1699981689453,177.77000427246094,8932700,177.77000427246094,2021-04-27
2021-04-28,172.10000610351562,181.97999572753906,166.02999877929688,178.5800018310547,5788900,178.5800018310547,2021-04-28
2021-04-29,176.55999755859375,180.86000061035156,170.75,176.19000244140625,3760300,176.19000244140625,2021-04-29
2021-04-30,175.0,183.8000030517578,172.6999969482422,173.58999633789062,4433600,173.58999633789062,2021-04-30
2021-05-03,177.49000549316406,177.49010549316407,159.61000061035156,162.1999969482422,5261000,162.1999969482422,2021-05-03
2021-05-04,159.0,161.49000549316406,151.8000030517578,160.72999572753906,4007500,160.72999572753906,2021-05-04
2021-05-05,161.8300018310547,165.5,158.3300018310547,159.47999572753906,2805400,159.47999572753906,2021-05-05
2021-05-06,160.86000061035156,164.72000122070312,155.60000610351562,161.00999450683594,2942800,161.00999450683594,2021-05-06
2021-05-07,160.11000061035156,167.41000366210938,157.5,161.11000061035156,2934600,161.11000061035156,2021-05-07
2021-05-10,161.30999755859375,161.58999633789062,143.0,143.22000122070312,4806700,143.22000122070312,2021-05-10
2021-05-11,137.0,150.5,136.5,146.9199981689453,4684600,146.9199981689453,2021-05-11
2021-05-12,145.6999969482422,150.5,142.22999572753906,144.7899932861328,2731500,144.7899932861328,2021-05-12
2021-05-13,147.44000244140625,169.9499969482422,146.42999267578125,164.5,8873500,164.5,2021-05-13
2021-05-14,160.0,166.47000122070312,156.22000122070312,159.9199981689453,4293500,159.9199981689453,2021-05-14
2021-05-17,159.85000610351562,182.5,159.0,180.60000610351562,7462100,180.60000610351562,2021-05-17
2021-05-18,174.5399932861328,189.1999969482422,168.27000427246094,180.6699981689453,7738700,180.6699981689453,2021-05-18
2021-05-19,171.99000549316406,178.97999572753906,164.14999389648438,168.8300018310547,4825900,168.8300018310547,2021-05-19
2021-05-20,170.7899932861328,174.91000366210938,166.89999389648438,170.49000549316406,2478200,170.49000549316406,2021-05-20
2021-05-21,171.0,179.24000549316406,170.3300018310547,176.7899932861328,3654700,176.7899932861328,2021-05-21
2021-05-24,175.85000610351562,188.4600067138672,173.35000610351562,180.00999450683594,4664300,180.00999450683594,2021-05-24
2021-05-25,181.0,217.11000061035156,180.9999,209.42999267578125,14887500,209.42999267578125,2021-05-25
2021-05-26,229.0,248.47999572753906,225.5500030517578,242.55999755859375,21119900,242.55999755859375,2021-05-26
2021-05-27,229.8000030517578,264.0,227.0,254.1300048828125,15526300,254.1300048828125,2021-05-27
2021-05-28,262.9700012207031,268.79998779296875,221.42999267578125,222.0,11751400,222.0,2021-05-28
2021-06-01,233.47999572753906,254.97999572753906,227.07000732421875,249.02000427246094,9625600,249.02000427246094,2021-06-01
2021-06-02,248.8800048828125,294.0,244.3000030517578,282.239990234375,16019200,282.239990234375,2021-06-02
2021-06-03,265.7099914550781,274.42999267578125,242.1199951171875,258.17999267578125,8000000,258.17999267578125,2021-06-03
2021-06-04,256.0199890136719,265.0,245.77000427246094,248.36000061035156,3637500,248.36000061035156,2021-06-04
2021-06-07,258.0,282.0,255.1999969482422,280.010009765625,6051500,280.010009765625,2021-06-07
2021-06-08,292.0,344.6600036621094,281.0,300.0,17439100,300.0,2021-06-08
2021-06-09,303.1199951171875,328.0,291.510009765625,302.55999755859375,13429300,302.55999755859375,2021-06-09
2021-06-10,282.0,288.0,211.0,220.38999938964844,22980200,220.38999938964844,2021-06-10
2021-06-11,222.35000610351562,241.1300048828125,206.1300048828125,233.33999633789062,15580800,233.33999633789062,2021-06-11
2021-06-14,236.5,238.00999450683594,219.1999969482422,229.44000244140625,7132600,229.44000244140625,2021-06-14
2021-06-15,226.36000061035156,229.25,208.0,222.5,7301900,222.5,2021-06-15
2021-06-16,215.24000549316406,228.72999572753906,209.0,222.97000122070312,5564800,222.97000122070312,2021-06-16
2021-06-17,224.0,233.66000366210938,221.47999572753906,223.58999633789062,4608600,223.58999633789062,2021-06-17
2021-06-18,220.17999267578125,223.49000549316406,213.0,213.82000732421875,4320300,213.82000732421875,2021-06-18
2021-06-21,216.9499969482422,218.39999389648438,197.0,200.3699951171875,5120200,200.3699951171875,2021-06-21
2021-06-22,217.72999572753906,225.8800048828125,209.1699981689453,220.39999389648438,8200200,220.39999389648438,2021-06-22
2021-06-23,221.4499969482422,222.57000732421875,214.1199951171875,219.33999633789062,3555100,219.33999633789062,2021-06-23
2021-06-24,221.16000366210938,227.4499969482422,211.60000610351562,212.30999755859375,3863300,212.30999755859375,2021-06-24
2021-06-25,214.0,214.1999969482422,198.5,209.50999450683594,12692700,209.50999450683594,2021-06-25
2021-06-28,211.25,224.4499969482422,210.1999969482422,213.25,4879400,213.25,2021-06-28
2021-06-29,213.58999633789062,215.22000122070312,208.00999450683594,210.8800048828125,2480000,210.8800048828125,2021-06-29
2021-06-30,209.69000244140625,215.27999877929688,206.94000244140625,214.13999938964844,2539600,214.13999938964844,2021-06-30
2021-07-01,213.39999389648438,216.8300018310547,202.0,204.36000061035156,2742100,204.36000061035156,2021-07-01
2021-07-02,204.8000030517578,205.4499969482422,196.5,202.8300018310547,2599100,202.8300018310547,2021-07-02
2021-07-06,204.0,204.77000427246094,193.7100067138672,199.55999755859375,2768100,199.55999755859375,2021-07-06
2021-07-07,196.0,197.5,177.55999755859375,190.66000366210938,4239500,190.66000366210938,2021-07-07
2021-07-08,179.8300018310547,194.22000122070312,179.5,191.3800048828125,2857500,191.3800048828125,2021-07-08
2021-07-09,190.8800048828125,194.77999877929688,186.75,191.22999572753906,1582900,191.22999572753906,2021-07-09
2021-07-12,191.4199981689453,197.75,187.4199981689453,189.25,1636300,189.25,2021-07-12
2021-07-13,187.67999267578125,188.7899932861328,179.0,180.05999755859375,2397900,180.05999755859375,2021-07-13
2021-07-14,180.49000549316406,182.3800048828125,165.07000732421875,167.6199951171875,3913800,167.6199951171875,2021-07-14
2021-07-15,160.0,171.99000549316406,158.00999450683594,166.82000732421875,4298600,166.82000732421875,2021-07-15
2021-07-16,170.14999389648438,179.47000122070312,166.3000030517578,169.0399932861328,3287900,169.0399932861328,2021-07-16
2021-07-19,163.3000030517578,176.0,161.22000122070312,173.49000549316406,2436900,173.49000549316406,2021-07-19
2021-07-20,173.89999389648438,193.63999938964844,172.4199981689453,191.17999267578125,3101100,191.17999267578125,2021-07-20
2021-07-21,187.7899932861328,195.50999450683594,182.11000061035156,185.80999755859375,2229200,185.80999755859375,2021-07-21
2021-07-22,185.3000030517578,187.69000244140625,176.14999389648438,178.85000610351562,1413000,178.85000610351562,2021-07-22
2021-07-23,181.0,181.60000610351562,173.83999633789062,180.36000061035156,1316200,180.36000061035156,2021-07-23
2021-07-26,180.36000061035156,186.0399932861328,178.75999450683594,183.94000244140625,1260600,183.94000244140625,2021-07-26
2021-07-27,183.0,185.0,176.66000366210938,178.5399932861328,1214800,178.5399932861328,2021-07-27
2021-07-28,175.72000122070312,177.1199951171875,164.27000427246094,169.1199951171875,4100800,169.1199951171875,2021-07-28
2021-07-29,170.60000610351562,173.88999938964844,164.50999450683594,164.86000061035156,2240000,164.86000061035156,2021-07-29
2021-07-30,165.0,167.22000122070312,158.8699951171875,161.1199951171875,2377100,161.1199951171875,2021-07-30
2021-08-02,162.0,163.58999633789062,155.05999755859375,157.64999389648438,2532900,157.64999389648438,2021-08-02
2021-08-03,156.74000549316406,158.88999938964844,148.1999969482422,152.75,14450600,152.75,2021-08-03
2021-08-04,152.72999572753906,157.7899932861328,145.69000244140625,146.8000030517578,2393500,146.8000030517578,2021-08-04
2021-08-05,148.0,157.60000610351562,145.22000122070312,153.44000244140625,2412100,153.44000244140625,2021-08-05
2021-08-06,154.58999633789062,156.5,150.30999755859375,151.77000427246094,1352700,151.77000427246094,2021-08-06
2021-08-09,151.8000030517578,164.7100067138672,150.66000366210938,161.1300048828125,2249200,161.1300048828125,2021-08-09
2021-08-10,161.36000061035156,166.89999389648438,155.35000610351562,159.0500030517578,1623300,159.0500030517578,2021-08-10
2021-08-11,158.42999267578125,159.0500030517578,154.6199951171875,158.77999877929688,945400,158.77999877929688,2021-08-11
