,Open,High,Low,Close,Volume,Adj. Close,Date
2020-04-22,13.851590728015488,13.891308513556702,13.037375650947252,13.30547046661377,2610400,13.30547046661377,2020-04-22
2020-04-23,13.44448318948137,13.687754744289643,13.30537046661377,13.30547046661377,1646000,13.30547046661377,2020-04-23
2020-04-24,13.454412985471855,13.504060454551539,12.96786987177372,13.265752792358398,1434800,13.265752792358398,2020-04-24
2020-04-27,13.51398905091241,13.653001773507112,13.235964552669705,13.315400123596191,2460500,13.315400123596191,2020-04-27
2020-04-28,13.643072124029656,14.546652455755458,13.543778133600174,14.328205108642578,4933600,14.328205108642578,2020-04-28
2020-04-29,14.904113020030113,15.742158932776514,14.894183337204774,15.519739151000977,6854900,15.519739151000977,2020-04-29
2020-04-30,15.321149515136606,15.455196439244293,14.645946265630386,15.082841873168945,6103500,15.082841873168945,2020-04-30
2020-05-01,14.497004934485552,14.645946383334023,13.801942314668322,13.990602493286133,3464700,13.990602493286133,2020-05-01
2020-05-04,12.908292396555339,13.444482965919,12.570690751595498,13.384905815124512,5295600,13.384905815124512,2020-05-04
2020-05-05,13.752295573212914,13.811871773006997,12.967868664982253,13.017515182495117,3756400,13.017515182495117,2020-05-05
2020-05-06,13.1267399242879,13.1664577068613,12.5111138209269,12.62033748626709,3898700,12.62033748626709,2020-05-06
2020-05-07,12.650125345561381,13.027444746296611,12.580619464118206,12.709702491760254,4188200,12.709702491760254,2020-05-07
2020-05-08,12.997657231071322,13.543877465820312,12.977797865796576,13.543777465820312,4099600,13.543777465820312,2020-05-08
2020-05-11,13.285611507400183,13.414694541899975,12.928151452056142,13.15652847290039,2709100,13.15652847290039,2020-05-11
2020-05-12,13.186316211518802,13.335258607359947,12.580619786548738,12.59054946899414,3375900,12.59054946899414,2020-05-12
2020-05-13,12.62033806794616,12.620438067946159,11.825981432919166,12.064288139343262,4442500,12.064288139343262,2020-05-13
2020-05-14,11.746545864111134,12.104005923747279,11.190496882454912,12.064288139343262,3832500,12.064288139343262,2020-05-14
2020-05-15,11.875628363022313,12.178477047246663,11.716757232592043,11.915346145629883,2006600,11.915346145629883,2020-05-15
2020-05-18,12.74942058605219,13.30546954511899,12.630267237680734,13.295540809631348,6350800,13.295540809631348,2020-05-18
2020-05-19,13.71257850947973,13.752296293738931,13.0115586230108,13.11681079864502,4051700,13.11681079864502,2020-05-19
2020-05-20,13.45441207569658,13.722506875483804,13.37398316228709,13.593423843383789,4402100,13.593423843383789,2020-05-20
2020-05-21,13.72250720544949,14.079968209690009,13.662931002707182,13.821802139282227,4055800,13.821802139282227,2020-05-21
2020-05-22,13.940955130309563,13.990602595938874,13.414694267310795,13.603353500366211,2985300,13.603353500366211,2020-05-22
2020-05-26,14.675734979423801,15.33107889160756,14.655876560815003,15.201996803283691,7031800,15.201996803283691,2020-05-26
2020-05-27,16.472966883843892,16.48289656664595,15.013336655074431,15.877199172973633,12641900,15.877199172973633,2020-05-27
2020-05-28,15.897058411844336,15.906988094567236,15.132489887220967,15.23178482055664,6555700,15.23178482055664,2020-05-28
2020-05-29,14.794888925482729,15.221855832588387,14.64594746562791,14.983549118041992,4106600,14.983549118041992,2020-05-29
2020-06-01,15.112631517691291,15.827551631016712,15.053054368107505,15.559456825256348,6237100,15.559456825256348,2020-06-01
2020-06-02,15.857340702805923,16.016210892389473,15.609104315240787,15.897058486938477,5877200,15.897058486938477,2020-06-02
2020-06-03,16.333955642656818,17.227606291026436,16.236645505594943,17.058805465698242,11285800,17.058805465698242,2020-06-03
2020-06-04,17.882948619109627,19.541167674008992,17.426192705898277,19.034765243530273,22983800,19.034765243530273,2020-06-04
2020-06-05,21.894448914927448,21.944097329432363,19.511379941598932,19.94827651977539,25463200,19.94827651977539,2020-06-05
2020-06-08,21.030587944603806,21.795156505088052,20.66319724219793,21.785226821899414,18657300,21.785226821899414,2020-06-08
2020-06-09,20.504326394244575,20.653267856432155,19.630535093888902,20.31566619873047,13007200,20.31566619873047,2020-06-09
2020-06-10,19.491519959660078,19.60074457422489,18.121255958826268,18.786529541015625,18428300,18.786529541015625,2020-06-10
2020-06-11,16.472965503811707,17.54534653598149,16.23465881820655,16.37367057800293,15848500,16.37367057800293,2020-06-11
