,Open,High,Low,Close,Volume,Adj. Close,Date
2021-05-03,21.190000534057617,21.190100534057617,19.8799991607666,19.90999984741211,13445700,19.90999984741211,2021-05-03
2021-05-04,19.59000015258789,19.84000015258789,18.950000762939453,19.170000076293945,12509800,19.170000076293945,2021-05-04
2021-05-05,19.68000030517578,19.979999542236328,19.1200008392334,19.18000030517578,4697400,19.18000030517578,2021-05-05
2021-05-06,19.18000030517578,19.350000381469727,18.579999923706055,18.959999084472656,10453500,18.959999084472656,2021-05-06
2021-05-07,19.049999237060547,19.719999313354492,18.75,19.280000686645508,14552700,19.280000686645508,2021-05-07
2021-05-10,19.540000915527344,19.56999969482422,18.6299991607666,18.639999389648438,9802700,18.639999389648438,2021-05-10
2021-05-11,17.690000534057617,18.899999618530273,17.399999618530273,18.600000381469727,14343000,18.600000381469727,2021-05-11
2021-05-12,18.25,18.540000915527344,17.75,17.799999237060547,7991200,17.799999237060547,2021-05-12
2021-05-13,17.899999618530273,18.860000610351562,17.2499,17.25,13384700,17.25,2021-05-13
2021-05-14,17.760000228881836,18.15999984741211,17.510000228881836,17.940000534057617,6623200,17.940000534057617,2021-05-14
2021-05-17,18.229999542236328,18.709999084472656,18.030000686645508,18.309999465942383,6347900,18.309999465942383,2021-05-17
2021-05-18,18.690000534057617,19.670000076293945,18.520000457763672,19.3799991607666,11575500,19.3799991607666,2021-05-18
2021-05-19,18.90999984741211,19.049999237060547,18.610000610351562,18.969999313354492,6402800,18.969999313354492,2021-05-19
2021-05-20,19.170000076293945,20.049999237060547,19.149999618530273,19.790000915527344,7769800,19.790000915527344,2021-05-20
2021-05-21,20.170000076293945,20.3700008392334,19.507999420166016,19.809999465942383,6881500,19.809999465942383,2021-05-21
2021-05-24,20.149999618530273,20.18000030517578,19.329999923706055,19.399999618530273,6796200,19.399999618530273,2021-05-24
2021-05-25,19.600000381469727,20.579999923706055,19.1299991607666,20.280000686645508,15197400,20.280000686645508,2021-05-25
2021-05-26,20.25,21.100000381469727,19.711000442504883,19.989999771118164,15699600,19.989999771118164,2021-05-26
2021-05-27,20.18000030517578,20.190000534057617,19.450000762939453,19.8799991607666,7189000,19.8799991607666,2021-05-27
2021-05-28,19.549999237060547,20.170000076293945,19.5,19.719999313354492,6933300,19.719999313354492,2021-05-28
2021-06-01,20.0,22.40999984741211,19.780000686645508,21.559999465942383,22530400,21.559999465942383,2021-06-01
2021-06-02,22.049999237060547,23.6299991607666,21.635000228881836,23.559999465942383,21110800,23.559999465942383,2021-06-02
2021-06-03,23.25,24.59000015258789,22.010000228881836,22.959999084472656,18875700,22.959999084472656,2021-06-03
2021-06-04,24.06999969482422,24.329999923706055,23.3799991607666,23.950000762939453,12911200,23.950000762939453,2021-06-04
2021-06-07,24.799999237060547,26.540000915527344,24.309999465942383,26.5,23162400,26.5,2021-06-07
2021-06-08,27.299999237060547,27.8799991607666,24.700000762939453,26.639999389648438,22753900,26.639999389648438,2021-06-08
2021-06-09,26.8799991607666,27.399999618530273,26.149999618530273,26.489999771118164,13900200,26.489999771118164,2021-06-09
2021-06-10,26.469999313354492,26.479999542236328,24.559999465942383,25.3799991607666,11300500,25.3799991607666,2021-06-10
2021-06-11,25.600000381469727,25.600100381469726,24.700000762939453,25.139999389648438,7269000,25.139999389648438,2021-06-11
2021-06-14,25.15999984741211,25.16009984741211,24.010000228881836,24.1200008392334,7687900,24.1200008392334,2021-06-14
2021-06-15,23.989999771118164,24.030000686645508,22.549999237060547,22.610000610351562,11218600,22.610000610351562,2021-06-15
2021-06-16,22.190000534057617,24.100000381469727,22.049999237060547,24.040000915527344,9957100,24.040000915527344,2021-06-16
2021-06-17,23.440000534057617,24.354000091552734,23.329999923706055,23.549999237060547,6906000,23.549999237060547,2021-06-17
2021-06-18,23.25,23.829999923706055,23.18000030517578,23.399999618530273,4621300,23.399999618530273,2021-06-18
2021-06-21,23.700000762939453,23.709999084472656,22.75,22.959999084472656,4965600,22.959999084472656,2021-06-21
2021-06-22,23.020000457763672,23.600000381469727,22.450000762939453,23.420000076293945,5874100,23.420000076293945,2021-06-22
2021-06-23,23.790000915527344,25.100000381469727,23.31999969482422,25.059999465942383,13373000,25.059999465942383,2021-06-23
2021-06-24,25.59000015258789,26.280000686645508,24.799999237060547,24.850000381469727,14444600,24.850000381469727,2021-06-24
2021-06-25,25.700000762939453,25.950000762939453,25.010000228881836,25.18000030517578,11453400,25.18000030517578,2021-06-25
2021-06-28,26.229999542236328,27.3799991607666,26.024999618530273,27.0,18705900,27.0,2021-06-28
2021-06-29,27.34000015258789,27.399999618530273,26.219999313354492,26.31999969482422,8562800,26.31999969482422,2021-06-29
2021-06-30,26.200000762939453,28.950000762939453,25.68000030517578,28.81999969482422,19647200,28.81999969482422,2021-06-30
2021-07-01,28.989999771118164,29.809999465942383,27.40999984741211,27.719999313354492,18459200,27.719999313354492,2021-07-01
2021-07-02,28.1200008392334,28.190000534057617,26.68000030517578,27.020000457763672,9188900,27.020000457763672,2021-07-02
2021-07-06,27.5,28.0,26.350000381469727,26.3799991607666,9302800,26.3799991607666,2021-07-06
2021-07-07,26.520000457763672,26.889999389648438,24.761999130249023,25.520000457763672,9286400,25.520000457763672,2021-07-07
2021-07-08,23.989999771118164,25.549999237060547,23.540000915527344,24.959999084472656,9235800,24.959999084472656,2021-07-08
2021-07-09,25.34000015258789,26.3700008392334,25.239999771118164,25.549999237060547,7230200,25.549999237060547,2021-07-09
2021-07-12,25.90999984741211,27.399999618530273,25.709999084472656,26.850000381469727,12657400,26.850000381469727,2021-07-12
2021-07-13,26.530000686645508,27.110000610351562,25.770000457763672,25.90999984741211,8561500,25.90999984741211,2021-07-13
2021-07-14,25.399999618530273,25.700000762939453,23.770000457763672,23.790000915527344,12667100,23.790000915527344,2021-07-14
2021-07-15,24.0,24.329999923706055,22.559999465942383,22.959999084472656,10345300,22.959999084472656,2021-07-15
2021-07-16,23.399999618530273,23.850000381469727,22.299999237060547,22.790000915527344,8912900,22.790000915527344,2021-07-16
2021-07-19,21.989999771118164,22.65999984741211,20.899999618530273,22.200000762939453,10564400,22.200000762939453,2021-07-19
2021-07-20,22.809999465942383,24.739999771118164,22.149999618530273,24.280000686645508,12194500,24.280000686645508,2021-07-20
2021-07-21,24.479999542236328,24.93000030517578,22.65999984741211,23.43000030517578,12470200,23.43000030517578,2021-07-21
2021-07-22,23.329999923706055,24.18000030517578,22.299999237060547,22.899999618530273,11069800,22.899999618530273,2021-07-22
2021-07-23,24.020000457763672,24.549999237060547,22.549999237060547,24.25,17905600,24.25,2021-07-23
2021-07-26,25.239999771118164,29.030000686645508,24.31999969482422,26.829999923706055,31573200,26.829999923706055,2021-07-26
2021-07-27,27.489999771118164,27.549999237060547,25.110000610351562,25.18000030517578,16184100,25.18000030517578,2021-07-27
2021-07-28,25.714000701904297,26.200000762939453,23.979999542236328,24.079999923706055,12580400,24.079999923706055,2021-07-28
2021-07-29,24.540000915527344,24.698999404907227,23.25,23.350000381469727,10494600,23.350000381469727,2021-07-29
2021-07-30,22.947999954223633,24.229999542236328,22.940000534057617,23.719999313354492,11144800,23.719999313354492,2021-07-30
2021-08-02,24.19300079345703,24.239999771118164,23.450000762939453,23.770000457763672,7894400,23.770000457763672,2021-08-02
2021-08-03,23.93000030517578,23.950000762939453,22.954999923706055,23.579999923706055,8579400,23.579999923706055,2021-08-03
2021-08-04,23.479999542236328,23.489999771118164,22.540000915527344,22.6299991607666,7015100,22.6299991607666,2021-08-04
2021-08-05,22.920000076293945,23.290000915527344,22.700000762939453,22.75,6573600,22.75,2021-08-05
2021-08-06,22.934999465942383,23.90999984741211,22.799999237060547,23.3799991607666,7686500,23.3799991607666,2021-08-06
2021-08-09,23.399999618530273,23.6200008392334,23.030000686645508,23.5,6489600,23.5,2021-08-09
2021-08-10,23.8799991607666,25.239999771118164,23.700000762939453,24.459999084472656,11923600,24.459999084472656,2021-08-10
2021-08-11,24.969999313354492,25.0,24.020000457763672,24.469999313354492,8009100,24.469999313354492,2021-08-11
2021-08-12,24.309999465942383,24.5,23.809999465942383,23.850000381469727,7499600,23.850000381469727,2021-08-12
2021-08-13,23.709999084472656,24.25,23.420000076293945,23.479999542236328,5877300,23.479999542236328,2021-08-13
2021-08-16,23.045000076293945,23.31999969482422,22.43000030517578,22.829999923706055,7508600,22.829999923706055,2021-08-16
2021-08-17,22.239999771118164,22.770000457763672,22.1299991607666,22.559999465942383,7077000,22.559999465942383,2021-08-17
2021-08-18,22.93000030517578,22.93010030517578,22.152000427246094,22.549999237060547,5873900,22.549999237060547,2021-08-18
2021-08-19,22.18000030517578,22.610000610351562,21.510000228881836,21.709999084472656,6603900,21.709999084472656,2021-08-19
2021-08-20,21.750999450683594,22.100000381469727,21.600000381469727,21.670000076293945,5277700,21.670000076293945,2021-08-20
2021-08-23,22.010000228881836,22.110000610351562,21.420000076293945,21.649999618530273,7098600,21.649999618530273,2021-08-23
2021-08-24,21.940000534057617,22.969999313354492,21.780000686645508,22.829999923706055,10277900,22.829999923706055,2021-08-24
2021-08-25,22.25,22.5,21.770000457763672,21.809999465942383,11667300,21.809999465942383,2021-08-25
2021-08-26,21.84000015258789,22.06999969482422,21.399999618530273,21.479999542236328,9094900,21.479999542236328,2021-08-26
2021-08-27,21.450000762939453,21.530000686645508,20.899999618530273,21.030000686645508,11926900,21.030000686645508,2021-08-27
2021-08-30,20.850000381469727,20.8799991607666,19.860000610351562,20.6299991607666,14999200,20.6299991607666,2021-08-30
2021-08-31,20.280000686645508,20.68000030517578,19.920000076293945,19.959999084472656,11454700,19.959999084472656,2021-08-31
2021-09-01,16.1200008392334,18.440000534057617,16.1199008392334,17.790000915527344,149611900,17.790000915527344,2021-09-01
2021-09-02,18.440000534057617,18.91900062561035,18.0,18.65999984741211,38386700,18.65999984741211,2021-09-02
2021-09-03,18.834999084472656,19.760000228881836,18.670000076293945,19.559999465942383,25236700,19.559999465942383,2021-09-03
2021-09-07,19.799999237060547,19.950000762939453,19.010000228881836,19.889999389648438,19835100,19.889999389648438,2021-09-07
2021-09-08,19.93000030517578,20.025999069213867,18.700000762939453,18.93000030517578,20956100,18.93000030517578,2021-09-08
2021-09-09,19.219999313354492,20.059999465942383,19.09000015258789,19.850000381469727,21788600,19.850000381469727,2021-09-09
2021-09-10,20.183000564575195,20.6200008392334,19.899999618530273,19.93000030517578,16229100,19.93000030517578,2021-09-10
2021-09-13,20.264999389648438,20.59000015258789,19.65999984741211,20.059999465942383,15778400,20.059999465942383,2021-09-13
2021-09-14,19.190000534057617,19.739999771118164,18.700000762939453,18.950000762939453,24118300,18.950000762939453,2021-09-14
2021-09-15,19.3700008392334,20.15999984741211,19.049999237060547,19.90999984741211,32280700,19.90999984741211,2021-09-15
2021-09-16,20.844999313354492,21.600000381469727,20.360000610351562,21.170000076293945,45927400,21.170000076293945,2021-09-16
2021-09-17,22.420000076293945,23.510000228881836,21.902999877929688,22.959999084472656,104115600,22.959999084472656,2021-09-17
2021-09-20,22.024999618530273,24.219999313354492,21.65999984741211,24.06999969482422,68143000,24.06999969482422,2021-09-20
2021-09-21,24.780000686645508,27.93000030517578,24.56999969482422,26.809999465942383,114795900,26.809999465942383,2021-09-21
2021-09-22,27.735000610351562,28.209999084472656,24.280000686645508,24.950000762939453,87320500,24.950000762939453,2021-09-22
2021-09-23,25.56999969482422,26.1299991607666,24.6200008392334,25.420000076293945,38764900,25.420000076293945,2021-09-23
2021-09-24,25.260000228881836,25.65999984741211,24.386999130249023,25.43000030517578,26633600,25.43000030517578,2021-09-24
2021-09-27,25.860000610351562,27.270000457763672,25.740999221801758,25.889999389648438,44696200,25.889999389648438,2021-09-27
2021-09-28,25.969999313354492,26.40999984741211,24.149999618530273,24.540000915527344,38136600,24.540000915527344,2021-09-28
2021-09-29,26.450000762939453,28.389999389648438,26.010000228881836,26.280000686645508,120691800,26.280000686645508,2021-09-29
2021-09-30,27.121999740600586,27.139999389648438,25.09000015258789,25.3799991607666,46844000,25.3799991607666,2021-09-30
2021-10-01,25.510000228881836,25.75,24.209999084472656,24.610000610351562,30696100,24.610000610351562,2021-10-01
2021-10-04,24.760000228881836,25.030000686645508,23.53499984741211,24.139999389648438,28779600,24.139999389648438,2021-10-04
2021-10-05,24.18000030517578,24.78499984741211,23.860000610351562,24.020000457763672,21742700,24.020000457763672,2021-10-05
2021-10-06,23.549999237060547,24.549999237060547,23.40999984741211,24.290000915527344,19270700,24.290000915527344,2021-10-06
2021-10-07,24.549999237060547,24.719999313354492,24.040000915527344,24.3799991607666,17543500,24.3799991607666,2021-10-07
2021-10-08,24.31999969482422,24.530000686645508,23.041000366210938,23.229999542236328,25071000,23.229999542236328,2021-10-08
2021-10-11,23.6299991607666,23.639999389648438,22.68000030517578,22.8700008392334,21974500,22.8700008392334,2021-10-11
2021-10-12,23.139999389648438,23.649999618530273,22.65999984741211,23.059999465942383,23871700,23.059999465942383,2021-10-12
2021-10-13,22.850000381469727,23.020000457763672,22.110000610351562,22.59000015258789,20437400,22.59000015258789,2021-10-13
2021-10-14,22.510000228881836,24.100000381469727,22.5,24.010000228881836,20756100,24.010000228881836,2021-10-14
2021-10-15,23.84000015258789,24.219999313354492,23.43000030517578,24.079999923706055,14891500,24.079999923706055,2021-10-15
2021-10-18,23.989999771118164,25.65999984741211,23.969999313354492,25.34000015258789,26182800,25.34000015258789,2021-10-18
2021-10-19,25.40999984741211,25.610000610351562,24.479999542236328,24.729999542236328,16034700,24.729999542236328,2021-10-19
2021-10-20,24.760000228881836,25.270000457763672,24.139999389648438,24.239999771118164,15462900,24.239999771118164,2021-10-20
2021-10-21,24.299999237060547,25.049999237060547,24.040000915527344,24.459999084472656,21810300,24.459999084472656,2021-10-21
2021-10-22,24.030000686645508,24.190000534057617,23.40999984741211,24.110000610351562,16384000,24.110000610351562,2021-10-22
2021-10-25,24.8799991607666,27.399999618530273,24.70199966430664,26.850000381469727,53941800,26.850000381469727,2021-10-25
2021-10-26,26.850000381469727,28.200000762939453,26.049999237060547,26.3799991607666,40979500,26.3799991607666,2021-10-26
2021-10-27,27.690000534057617,28.940000534057617,26.729999542236328,27.020000457763672,52224600,27.020000457763672,2021-10-27
2021-10-28,28.540000915527344,39.779998779296875,28.079999923706055,35.47999954223633,377220900,35.47999954223633,2021-10-28
2021-10-29,38.25,41.599998474121094,35.43000030517578,36.9900016784668,221097400,36.9900016784668,2021-10-29
2021-11-01,39.994998931884766,40.16999816894531,35.72999954223633,36.529998779296875,121435300,36.529998779296875,2021-11-01
2021-11-02,34.564998626708984,35.38999938964844,33.02000045776367,35.130001068115234,75032500,35.130001068115234,2021-11-02
2021-11-03,34.22999954223633,37.380001068115234,34.229899542236325,36.54499816894531,61133700,36.54499816894531,2021-11-03
2021-11-04,37.380001068115234,37.70000076293945,36.06999969482422,37.119998931884766,40730400,37.119998931884766,2021-11-04
2021-11-05,37.5,41.91999816894531,36.16999816894531,41.79999923706055,113881100,41.79999923706055,2021-11-05
2021-11-08,43.540000915527344,47.869998931884766,43.040000915527344,45.91999816894531,154195400,45.91999816894531,2021-11-08
2021-11-09,47.47999954223633,48.040000915527344,42.150001525878906,44.779998779296875,90177700,44.779998779296875,2021-11-09
2021-11-10,42.29999923706055,45.0,39.340999603271484,40.75,79342800,40.75,2021-11-10
2021-11-11,42.75,45.75,41.7400016784668,44.97999954223633,69846300,44.97999954223633,2021-11-11
2021-11-12,44.0,45.189998626708984,42.7400016784668,43.93000030517578,41015300,43.93000030517578,2021-11-12
2021-11-15,44.599998474121094,46.13999938964844,43.40999984741211,44.880001068115234,77111000,44.880001068115234,2021-11-15
2021-11-16,49.93000030517578,55.68000030517578,46.50899887084961,55.52000045776367,248654600,55.52000045776367,2021-11-16
2021-11-17,56.20000076293945,57.75,50.310001373291016,52.54999923706055,198386200,52.54999923706055,2021-11-17
2021-11-18,49.029998779296875,49.66999816894531,43.0,47.04999923706055,131634800,47.04999923706055,2021-11-18
2021-11-19,47.15999984741211,55.400001525878906,47.150001525878906,55.209999084472656,166718400,55.209999084472656,2021-11-19
2021-11-22,53.03499984741211,57.439998626708984,50.08000183105469,51.119998931884766,130761800,51.119998931884766,2021-11-22
2021-11-23,51.67499923706055,54.33000183105469,49.52000045776367,52.439998626708984,87998800,52.439998626708984,2021-11-23
2021-11-24,51.7400016784668,53.5,49.83000183105469,52.56999969482422,61225300,52.56999969482422,2021-11-24
2021-11-26,49.45000076293945,52.369998931884766,49.41299819946289,51.720001220703125,36708000,51.720001220703125,2021-11-26
2021-11-29,52.029998779296875,55.33000183105469,50.709999084472656,55.060001373291016,76731400,55.060001373291016,2021-11-29
2021-11-30,54.43000030517578,56.70000076293945,51.599998474121094,52.97999954223633,92341600,52.97999954223633,2021-11-30
2021-12-01,54.08000183105469,56.2400016784668,50.95000076293945,51.13999938964844,78654100,51.13999938964844,2021-12-01
2021-12-02,50.849998474121094,51.84000015258789,46.02000045776367,48.40999984741211,77168500,48.40999984741211,2021-12-02
2021-12-03,48.54999923706055,49.4900016784668,44.56999969482422,47.27000045776367,76441200,47.27000045776367,2021-12-03
2021-12-06,40.025001525878906,45.75,38.060001373291016,44.86000061035156,103929800,44.86000061035156,2021-12-06
2021-12-07,46.505001068115234,47.25,43.02000045776367,43.880001068115234,57740800,43.880001068115234,2021-12-07
2021-12-08,42.599998474121094,45.400001525878906,41.34000015258789,44.720001220703125,50135900,44.720001220703125,2021-12-08
2021-12-09,41.369998931884766,42.7400016784668,36.13999938964844,36.52000045776367,120872600,36.52000045776367,2021-12-09
2021-12-10,38.0,39.08000183105469,35.79999923706055,37.65999984741211,91804000,37.65999984741211,2021-12-10
2021-12-13,39.9900016784668,40.290000915527344,36.84000015258789,39.150001525878906,82697500,39.150001525878906,2021-12-13
2021-12-14,37.959999084472656,41.29999923706055,37.15999984741211,40.869998931884766,64374000,40.869998931884766,2021-12-14
2021-12-15,39.369998931884766,41.689998626708984,38.79999923706055,40.810001373291016,59474700,40.810001373291016,2021-12-15
2021-12-16,41.09000015258789,42.5,39.5099983215332,40.04999923706055,55589000,40.04999923706055,2021-12-16
2021-12-17,38.45000076293945,40.45000076293945,36.349998474121094,40.0099983215332,126157600,40.0099983215332,2021-12-17
2021-12-20,38.029998779296875,39.709999084472656,36.91999816894531,37.9900016784668,38903700,37.9900016784668,2021-12-20
2021-12-21,38.25,39.33000183105469,36.75,38.02000045776367,38911500,38.02000045776367,2021-12-21
2021-12-22,37.90999984741211,40.189998626708984,37.70000076293945,38.70000076293945,36620100,38.70000076293945,2021-12-22
2021-12-23,38.52000045776367,38.689998626708984,37.369998931884766,37.63999938964844,27703400,37.63999938964844,2021-12-23
2021-12-27,37.16999816894531,39.1619987487793,35.529998779296875,38.63999938964844,48622900,38.63999938964844,2021-12-27
2021-12-28,37.779998779296875,38.349998474121094,36.75,36.97999954223633,28441500,36.97999954223633,2021-12-28
2021-12-29,36.724998474121094,37.15999984741211,35.86000061035156,36.970001220703125,25374700,36.970001220703125,2021-12-29
2021-12-30,36.68000030517578,39.5,36.67990030517578,38.75,36202900,38.75,2021-12-30
2021-12-31,38.2400016784668,39.79999923706055,37.849998474121094,38.04999923706055,19562000,38.04999923706055,2021-12-31
2022-01-03,38.54999923706055,41.7599983215332,37.959999084472656,40.93000030517578,45685100,40.93000030517578,2022-01-03
2022-01-04,40.75,41.290000915527344,38.380001068115234,39.40999984741211,30476900,39.40999984741211,2022-01-04
2022-01-05,38.68000030517578,39.060001373291016,36.130001068115234,36.68000030517578,43318800,36.68000030517578,2022-01-05
2022-01-06,36.45000076293945,38.58000183105469,33.7599983215332,38.220001220703125,58375500,38.220001220703125,2022-01-06
2022-01-07,37.505001068115234,43.290000915527344,37.5,41.97999954223633,78419600,41.97999954223633,2022-01-07
2022-01-10,40.630001068115234,43.16999816894531,40.43000030517578,41.720001220703125,44353300,41.720001220703125,2022-01-10
2022-01-11,41.810001373291016,45.47999954223633,41.4900016784668,45.470001220703125,60554200,45.470001220703125,2022-01-11
2022-01-12,45.7400016784668,47.59000015258789,44.029998779296875,45.43000030517578,49592700,45.43000030517578,2022-01-12
2022-01-13,45.72999954223633,46.290000915527344,41.36000061035156,41.40999984741211,36293100,41.40999984741211,2022-01-13
2022-01-14,40.974998474121094,43.400001525878906,40.95000076293945,42.220001220703125,33308400,42.220001220703125,2022-01-14
2022-01-18,40.68000030517578,41.279998779296875,39.0,39.209999084472656,29511500,39.209999084472656,2022-01-18
2022-01-19,39.47999954223633,42.439998626708984,39.439998626708984,40.029998779296875,36994600,40.029998779296875,2022-01-19
2022-01-20,41.5099983215332,42.95000076293945,38.689998626708984,38.720001220703125,45831900,38.720001220703125,2022-01-20
2022-01-21,39.029998779296875,39.97999954223633,37.185001373291016,37.75,38254000,37.75,2022-01-21
2022-01-24,36.13999938964844,37.880001068115234,34.119998931884766,37.75,45173000,37.75,2022-01-24
2022-01-25,36.630001068115234,37.54999923706055,35.220001220703125,35.459999084472656,27029100,35.459999084472656,2022-01-25
2022-01-26,36.290000915527344,36.880001068115234,32.9900016784668,33.40999984741211,51058100,33.40999984741211,2022-01-26
2022-01-27,33.849998474121094,33.90999984741211,28.389999389648438,28.700000762939453,67318200,28.700000762939453,2022-01-27
2022-01-28,28.058000564575195,28.43000030517578,25.632999420166016,27.149999618530273,66779500,27.149999618530273,2022-01-28
2022-01-31,28.114999771118164,29.479999542236328,27.420000076293945,29.389999389648438,41743100,29.389999389648438,2022-01-31
2022-02-01,30.524999618530273,30.850000381469727,28.6200008392334,29.959999084472656,38972300,29.959999084472656,2022-02-01
2022-02-02,29.225000381469727,29.959999084472656,27.399999618530273,27.68000030517578,35301500,27.68000030517578,2022-02-02
2022-02-03,26.5,28.59000015258789,26.290000915527344,26.950000762939453,30180400,26.950000762939453,2022-02-03
2022-02-04,26.979999542236328,27.850000381469727,26.209999084472656,27.549999237060547,20394500,27.549999237060547,2022-02-04
2022-02-07,27.610000610351562,28.329999923706055,26.399999618530273,26.969999313354492,22540000,26.969999313354492,2022-02-07
2022-02-08,26.799999237060547,27.6299991607666,25.889999389648438,27.43000030517578,19193200,27.43000030517578,2022-02-08
2022-02-09,27.770000457763672,28.940000534057617,27.59000015258789,28.829999923706055,21808600,28.829999923706055,2022-02-09
2022-02-10,27.649999618530273,29.399999618530273,27.440000534057617,27.90999984741211,24458300,27.90999984741211,2022-02-10
2022-02-11,27.524999618530273,28.200000762939453,25.610000610351562,25.84000015258789,28761800,25.84000015258789,2022-02-11
2022-02-14,25.812000274658203,28.40999984741211,25.68000030517578,27.440000534057617,41217500,27.440000534057617,2022-02-14
2022-02-15,28.110000610351562,28.889999389648438,27.6200008392334,28.8700008392334,22330300,28.8700008392334,2022-02-15
2022-02-16,28.334999084472656,29.18000030517578,27.860000610351562,29.0,15842000,29.0,2022-02-16
