,Open,High,Low,Close,Volume,Adj. Close,Date
2021-04-30,34.97999954223633,38.54999923706055,34.66999816894531,36.779998779296875,22154500,36.779998779296875,2021-04-30
2021-05-03,38.20000076293945,39.68000030517578,35.209999084472656,36.220001220703125,17671200,36.220001220703125,2021-05-03
2021-05-04,34.880001068115234,35.2400016784668,32.220001220703125,33.95000076293945,14261900,33.95000076293945,2021-05-04
2021-05-05,34.5,36.22999954223633,32.95000076293945,33.54999923706055,15077600,33.54999923706055,2021-05-05
2021-05-06,33.59000015258789,34.11000061035156,30.0,31.399999618530273,13903800,31.399999618530273,2021-05-06
2021-05-07,31.90999984741211,32.790000915527344,30.809999465942383,31.329999923706055,11735100,31.329999923706055,2021-05-07
2021-05-10,30.989999771118164,31.149999618530273,27.6200008392334,27.81999969482422,17201100,27.81999969482422,2021-05-10
2021-05-11,23.600000381469727,26.40999984741211,23.229999542236328,25.950000762939453,23322000,25.950000762939453,2021-05-11
2021-05-12,24.850000381469727,26.309999465942383,22.43000030517578,22.850000381469727,20186900,22.850000381469727,2021-05-12
2021-05-13,21.3700008392334,22.600000381469727,18.31999969482422,19.65999984741211,33368400,19.65999984741211,2021-05-13
2021-05-14,21.229999542236328,23.989999771118164,20.989999771118164,23.079999923706055,24535800,23.079999923706055,2021-05-14
2021-05-17,20.559999465942383,22.510000228881836,20.309999465942383,22.360000610351562,19471000,22.360000610351562,2021-05-17
2021-05-18,22.059999465942383,23.8700008392334,21.809999465942383,22.989999771118164,16461700,22.989999771118164,2021-05-18
2021-05-19,19.450000762939453,21.780000686645508,19.309999465942383,21.709999084472656,33073100,21.709999084472656,2021-05-19
2021-05-20,23.469999313354492,24.270000457763672,20.93000030517578,21.889999389648438,22823400,21.889999389648438,2021-05-20
2021-05-21,21.940000534057617,22.799999237060547,20.40999984741211,20.889999389648438,20760500,20.889999389648438,2021-05-21
2021-05-24,21.260000228881836,23.290000915527344,21.09000015258789,23.149999618530273,22112000,23.149999618530273,2021-05-24
2021-05-25,22.399999618530273,23.290000915527344,21.93000030517578,22.6200008392334,13849400,22.6200008392334,2021-05-25
2021-05-26,23.670000076293945,25.93000030517578,23.329999923706055,25.260000228881836,23333400,25.260000228881836,2021-05-26
2021-05-27,26.510000228881836,27.110000610351562,24.780000686645508,25.84000015258789,20543600,25.84000015258789,2021-05-27
2021-05-28,24.84000015258789,25.709999084472656,24.15999984741211,24.770000457763672,12356100,24.770000457763672,2021-05-28
2021-06-01,24.540000915527344,25.649999618530273,24.450000762939453,25.200000762939453,11831000,25.200000762939453,2021-06-01
2021-06-02,25.8799991607666,26.299999237060547,24.93000030517578,25.239999771118164,12685500,25.239999771118164,2021-06-02
2021-06-03,25.639999389648438,25.719999313354492,23.729999542236328,23.790000915527344,9132900,23.790000915527344,2021-06-03
2021-06-04,23.229999542236328,24.75,23.09000015258789,24.350000381469727,8142400,24.350000381469727,2021-06-04
2021-06-07,24.139999389648438,24.6200008392334,23.579999923706055,24.389999389648438,7793100,24.389999389648438,2021-06-07
2021-06-08,23.170000076293945,23.889999389648438,21.540000915527344,23.639999389648438,13667200,23.639999389648438,2021-06-08
2021-06-09,23.959999084472656,27.239999771118164,23.40999984741211,26.139999389648438,17945200,26.139999389648438,2021-06-09
