,Open,High,Low,Close,Volume,Adj. Close,Date
2021-05-03,232.7994645103004,232.98530808925847,230.2463877825516,230.42245483398438,2458000,230.42245483398438,2021-05-03
2021-05-04,229.51276260636618,230.98004785013325,228.15307887751524,228.75955200195312,2529700,228.75955200195312,2021-05-04
2021-05-05,229.0138547671212,230.21703930180357,226.50969057219834,229.91378784179688,2070000,229.91378784179688,2021-05-05
2021-05-06,230.4028787470332,230.51048025001083,228.084573095419,229.7377166748047,1832600,229.7377166748047,2021-05-06
2021-05-07,229.87466890233532,230.57896695432854,228.88670229445407,229.71815490722656,1406800,229.71815490722656,2021-05-07
2021-05-10,229.9725029025204,232.73099127604502,229.9724029025204,231.93865966796875,2031500,231.93865966796875,2021-05-10
2021-05-11,232.5549346088165,232.6136236304076,227.13575274994488,228.75955200195312,3028500,228.75955200195312,2021-05-11
2021-05-12,227.04769392055323,228.47585796613672,222.60671764499122,222.96864318847656,3198200,222.96864318847656,2021-05-12
2021-05-13,223.02734263116452,226.0401699280033,222.9099645955722,224.7587432861328,2819200,224.7587432861328,2021-05-13
2021-05-14,225.6782473493112,227.56614710134713,225.44347634902837,226.6662139892578,1943100,226.6662139892578,2021-05-14
2021-05-17,225.77603938317228,227.2335479073442,225.22825535223382,226.62705993652344,1630900,226.62705993652344,2021-05-17
2021-05-18,226.83249151402188,228.16283058736963,226.5977205271973,226.87161254882812,2913000,226.87161254882812,2021-05-18
2021-05-19,225.20870438745558,225.59019793253893,223.2034116808394,225.1304473876953,2967000,225.1304473876953,2021-05-19
2021-05-20,225.6880160057127,228.91604624853323,225.5315020109829,227.1161651611328,1890200,227.1161651611328,2021-05-20
2021-05-21,227.35094295317992,228.30956507907865,225.28696122968591,226.19668579101562,2601100,226.19668579101562,2021-05-21
2021-05-24,226.4705877373174,227.57593245728594,225.98149266225255,226.85208129882812,1823300,226.85208129882812,2021-05-24
2021-05-25,227.1063861339159,227.69330614469425,225.67823699421564,227.07704162597656,2681900,227.07704162597656,2021-05-25
2021-05-26,228.6910365249312,228.6911365249312,227.09659695374486,227.28245544433594,1564200,227.28245544433594,2021-05-26
2021-05-27,227.92805910454322,229.95291968075995,227.33136257457554,229.7377166748047,5242900,229.7377166748047,2021-05-27
2021-05-28,230.2885426050451,230.56394733519812,228.63609921569503,230.05247497558594,2853600,230.05247497558594,2021-05-28
2021-06-01,232.108181132912,232.11802666446064,228.92135066505546,229.41314697265625,2574300,229.41314697265625,2021-06-01
2021-06-02,230.13115989612837,230.48525382950135,228.99018888765633,229.94427490234375,3172000,229.94427490234375,2021-06-02
2021-06-03,228.75413445545715,228.94100443932675,226.37382719485575,228.63609313964844,3249400,228.63609313964844,2021-06-03
2021-06-04,229.6098401761941,229.96393408358642,228.26232322704334,229.5508270263672,1615200,229.5508270263672,2021-06-04
2021-06-07,230.16067691093463,230.22953559952825,227.36727742566333,227.88858032226562,1877000,227.88858032226562,2021-06-07
2021-06-08,227.7016878198933,230.1409932753869,227.54430940123382,228.82298278808594,2106200,228.82298278808594,2021-06-08
2021-06-09,229.1573842394577,230.47540964068043,227.65248886396265,227.6721649169922,1982200,227.6721649169922,2021-06-09
2021-06-10,228.24266348110336,231.04589335717478,228.12462216458525,230.74098205566406,2534000,230.74098205566406,2021-06-10
2021-06-11,231.1442607682243,233.6032422657586,230.85902551822042,233.04258728027344,2654300,233.04258728027344,2021-06-11
2021-06-14,233.28846660087189,233.8687975938587,230.95735713205588,233.0917510986328,1836800,233.0917510986328,2021-06-14
2021-06-15,233.63275428219197,233.90815901565287,231.79344088191402,232.4721221923828,1948300,232.4721221923828,2021-06-15
2021-06-16,233.3179976129552,233.3868412877271,229.94426732991604,231.71473693847656,2951700,231.71473693847656,2021-06-16
2021-06-17,231.22294112860206,232.39341867798507,229.45247151644418,230.04263305664062,1895600,230.04263305664062,2021-06-17
