,Open,High,Low,Close,Volume,Adj. Close,Date
2020-06-01,179.39893104628734,180.48467323124623,178.33239515749074,180.07151794433594,2168200,180.07151794433594,2020-06-01
2020-06-02,181.0227412251359,181.1764795609079,178.80319714962087,180.2444610595703,3125500,180.2444610595703,2020-06-02
2020-06-03,181.09001379264652,186.2209099788724,180.72488889730997,185.7212677001953,3881500,185.7212677001953,2020-06-03
2020-06-04,184.78925958182296,186.6532819477836,184.1166580192748,185.67323303222656,3469100,185.67323303222656,2020-06-04
2020-06-05,190.2468473605685,192.3126532224403,188.58459365798487,189.4397430419922,4728300,189.4397430419922,2020-06-05
2020-06-08,188.0176926584562,194.79163663147557,187.9792654013938,194.7147674560547,4443900,194.7147674560547,2020-06-08
2020-06-09,192.52404391044183,193.67706686033227,191.21729727368907,191.70733642578125,3728600,191.70733642578125,2020-06-09
2020-06-10,191.33258790169393,191.74574317422264,188.00806611949923,188.1329803466797,3459900,188.1329803466797,2020-06-10
2020-06-11,183.4248430469376,185.35614602006655,179.03380007088737,180.16758728027344,5796000,180.16758728027344,2020-06-11
2020-06-12,184.16474132440064,184.16484132440064,178.1882978184193,181.76263427734375,4108600,181.76263427734375,2020-06-12
2020-06-15,177.37156352762463,182.67540453324875,176.9295694465081,182.07008361816406,4499000,182.07008361816406,2020-06-15
2020-06-16,184.48179287878307,185.92305688564858,180.1676040068326,182.86758422851562,5434800,182.86758422851562,2020-06-16
2020-06-17,184.40492500861149,185.32734043049268,182.963660991563,183.3191680908203,3154100,183.3191680908203,2020-06-17
2020-06-18,182.56971125263146,183.27113696095324,180.53272947487565,182.07008361816406,3153300,182.07008361816406,2020-06-18
2020-06-19,184.7604466506629,184.82771268084176,179.22599766763767,179.25482177734375,6267700,179.25482177734375,2020-06-19
2020-06-22,178.7167311647447,180.41742674389442,177.65019524714845,180.11956787109375,3223200,180.11956787109375,2020-06-22
2020-06-23,182.12773086809207,182.3006755111157,179.02421315192677,179.3124542236328,2951900,179.3124542236328,2020-06-23
2020-06-24,177.71746216682274,178.43809415096467,174.2392018203503,177.0736846923828,4146600,177.0736846923828,2020-06-24
2020-06-25,176.32422388380502,176.8719112145199,173.2687513902214,175.6035919189453,3145200,175.6035919189453,2020-06-25
2020-06-26,175.22886465201577,175.65163775239444,171.87553327739363,172.7018585205078,5107400,172.7018585205078,2020-06-26
2020-06-29,173.4993840781708,175.67088343604613,172.15419541841953,175.64205932617188,2622200,175.64205932617188,2020-06-29
2020-06-30,175.75731891079067,177.94803876963837,174.767652249175,177.2466278076172,3163100,177.2466278076172,2020-06-30
2020-07-01,177.70785240639157,179.13951329113337,176.52602000403056,177.42921447753906,2193800,177.42921447753906,2020-07-01
2020-07-02,179.67757535918474,179.67767535918475,175.69968737886103,176.33384704589844,2690200,176.33384704589844,2020-07-02
2020-07-06,178.7167288782742,181.33022200036547,176.92956100303965,181.11883544921875,3171500,181.11883544921875,2020-07-06
2020-07-07,180.0330717542426,180.4942867544906,177.99609015101126,178.5437774658203,2399600,178.5437774658203,2020-07-07
2020-07-08,178.23630054714886,179.8985541236391,177.51566860423586,178.57260131835938,2776400,178.57260131835938,2020-07-08
2020-07-09,178.92811354407866,179.28362062121812,175.46907425384796,177.11212158203125,2333500,177.11212158203125,2020-07-09
2020-07-10,176.58366169898395,178.17866402261012,175.84380875057738,177.64059448242188,2714100,177.64059448242188,2020-07-10
2020-07-13,178.33239672089562,181.55121071166644,177.47724737274518,177.67901611328125,3221600,177.67901611328125,2020-07-13
2020-07-14,177.84237346490346,183.36721904087074,177.4964695032606,183.25192260742188,4138600,183.25192260742188,2020-07-14
2020-07-15,186.3073727150455,186.40346283875851,182.44479605152898,184.2607879638672,3735400,184.2607879638672,2020-07-15
2020-07-16,183.63624213536536,185.21202349112917,182.70422359420007,183.44407653808594,2111100,183.44407653808594,2020-07-16
2020-07-17,183.84761458410424,184.3856840797186,182.68500327992908,183.9821319580078,1972600,183.9821319580078,2020-07-17
2020-07-20,183.4248509504493,185.22163662596532,182.91560553292894,184.1070556640625,2157100,184.1070556640625,2020-07-20
2020-07-21,184.7988742606971,187.26823232251166,184.48179441718705,185.4234161376953,3505400,185.4234161376953,2020-07-21
