,Open,High,Low,Close,Volume,Adj. Close,Date
2018-01-02,196.10000610351562,201.64999389648438,195.4199981689453,201.07000732421875,10966900,201.07000732421875,2018-01-02
2018-01-03,202.0500030517578,206.2100067138672,201.5,205.0500030517578,8591400,205.0500030517578,2018-01-03
2018-01-04,206.1999969482422,207.0500030517578,204.0,205.6300048828125,6029600,205.6300048828125,2018-01-04
2018-01-05,207.25,210.02000427246094,205.58999633789062,209.99000549316406,7033200,209.99000549316406,2018-01-05
2018-01-08,210.02000427246094,212.5,208.44000244140625,212.0500030517578,5580200,212.0500030517578,2018-01-08
2018-01-09,212.11000061035156,212.97999572753906,208.58999633789062,209.30999755859375,6125900,209.30999755859375,2018-01-09
2018-01-10,207.57000732421875,213.63999938964844,206.91000366210938,212.52000427246094,5951500,212.52000427246094,2018-01-10
2018-01-11,214.2899932861328,217.75,213.35000610351562,217.24000549316406,7659500,217.24000549316406,2018-01-11
2018-01-12,217.17999267578125,222.5500030517578,216.0,221.22999572753906,8199400,221.22999572753906,2018-01-12
2018-01-16,224.24000549316406,226.07000732421875,217.1999969482422,221.52999877929688,13516100,221.52999877929688,2018-01-16
2018-01-17,221.0,221.14999389648438,216.32000732421875,217.5,9123100,217.5,2018-01-17
2018-01-18,220.33999633789062,220.5800018310547,216.5500030517578,220.3300018310547,8225300,220.3300018310547,2018-01-18
2018-01-19,222.75,223.49000549316406,218.5,220.4600067138672,10548600,220.4600067138672,2018-01-19
2018-01-22,222.0,227.7899932861328,221.1999969482422,227.5800018310547,17703300,227.5800018310547,2018-01-22
2018-01-23,255.0500030517578,257.7099914550781,248.02000427246094,250.2899932861328,27705300,250.2899932861328,2018-01-23
2018-01-24,250.8800048828125,261.7099914550781,249.30999755859375,261.29998779296875,17352400,261.29998779296875,2018-01-24
2018-01-25,263.0,272.29998779296875,260.2300109863281,269.70001220703125,15336400,269.70001220703125,2018-01-25
2018-01-26,271.489990234375,274.6001061035156,268.760009765625,274.6000061035156,11021800,274.6000061035156,2018-01-26
2018-01-29,274.20001220703125,286.80999755859375,273.9200134277344,284.5899963378906,17529700,284.5899963378906,2018-01-29
2018-01-30,277.0,282.7300109863281,272.70001220703125,278.79998779296875,12482900,278.79998779296875,2018-01-30
2018-01-31,281.94000244140625,282.2900085449219,269.5799865722656,270.29998779296875,11695100,270.29998779296875,2018-01-31
2018-02-01,266.4100036621094,271.95001220703125,263.3800048828125,265.07000732421875,9669000,265.07000732421875,2018-02-01
2018-02-02,263.0,270.6199951171875,262.7099914550781,267.42999267578125,9123600,267.42999267578125,2018-02-02
2018-02-05,262.0,267.8999938964844,250.02999877929688,254.25999450683594,11896100,254.25999450683594,2018-02-05
2018-02-06,247.6999969482422,266.70001220703125,245.0,265.7200012207031,12595800,265.7200012207031,2018-02-06
2018-02-07,266.5799865722656,272.45001220703125,264.3299865722656,264.55999755859375,8981500,264.55999755859375,2018-02-07
2018-02-08,267.0799865722656,267.6199951171875,250.0,250.10000610351562,9306700,250.10000610351562,2018-02-08
2018-02-09,253.85000610351562,255.8000030517578,236.11000061035156,249.47000122070312,16906900,249.47000122070312,2018-02-09
2018-02-12,252.13999938964844,259.1499938964844,249.0,257.95001220703125,8534900,257.95001220703125,2018-02-12
2018-02-13,257.2900085449219,261.4100036621094,254.6999969482422,258.2699890136719,6855200,258.2699890136719,2018-02-13
2018-02-14,260.4700012207031,269.8800048828125,260.3299865722656,266.0,10972000,266.0,2018-02-14
2018-02-15,270.0299987792969,280.5,267.6300048828125,280.2699890136719,10759700,280.2699890136719,2018-02-15
2018-02-16,278.7300109863281,281.9599914550781,275.69000244140625,278.5199890136719,8312400,278.5199890136719,2018-02-16
2018-02-20,277.739990234375,285.80999755859375,276.6099853515625,278.54998779296875,7769000,278.54998779296875,2018-02-20
2018-02-21,282.07000732421875,286.6400146484375,280.010009765625,281.0400085449219,9371100,281.0400085449219,2018-02-21
2018-02-22,283.8800048828125,284.5,274.45001220703125,278.1400146484375,8891500,278.1400146484375,2018-02-22
2018-02-23,281.0,286.0,277.80999755859375,285.92999267578125,7301800,285.92999267578125,2018-02-23
2018-02-26,288.75,295.6499938964844,287.010009765625,294.1600036621094,10268600,294.1600036621094,2018-02-26
2018-02-27,294.7699890136719,297.3599853515625,290.5899963378906,290.6099853515625,9416500,290.6099853515625,2018-02-27
2018-02-28,293.1000061035156,295.75,290.7799987792969,291.3800048828125,7653500,291.3800048828125,2018-02-28
2018-03-01,292.75,295.25,283.8299865722656,290.3900146484375,11932100,290.3900146484375,2018-03-01
