,Open,High,Low,Close,Volume,Adj. Close,Date
2021-10-22,228.16318344808954,231.23229205526366,225.5439553109187,227.19346618652344,24938400,227.19346618652344,2021-10-22
2021-10-25,229.66273547705882,233.48162438115725,227.63333103994148,231.59217834472656,23023500,231.59217834472656,2021-10-25
2021-10-26,239.81977337738513,252.51605249602332,239.16996976177725,247.09764099121094,48589800,247.09764099121094,2021-10-26
2021-10-27,244.66835917919866,250.82654427920417,242.7489230793411,244.43841552734375,24599000,244.43841552734375,2021-10-27
2021-10-28,248.70716990384173,249.4269603484395,245.15820609451254,249.3369903564453,23420400,249.3369903564453,2021-10-28
2021-10-29,249.93680704544283,257.0147362899128,249.92681546438027,255.59515380859375,29250300,255.59515380859375,2021-10-29
2021-11-01,256.41491917429585,258.8642142967601,252.19616834369972,258.19439697265625,26574000,258.19439697265625,2021-11-01
2021-11-02,258.14439548557044,266.70188671272166,257.92445868030353,263.9327087402344,29411200,263.9327087402344,2021-11-02
2021-11-03,266.62192052612266,267.7615708614331,262.2731881356668,265.9021301269531,23991000,265.9021301269531,2021-11-03
2021-11-04,272.21028895165324,313.5581651508181,271.10059806694403,297.9227600097656,115363100,297.9227600097656,2021-11-04
2021-11-05,301.78159354760624,313.90804620102193,294.013879947972,297.432861328125,85126000,297.432861328125,2021-11-05
2021-11-08,301.40172832441664,310.90895401211924,298.982453869999,307.9498291015625,50310100,307.9498291015625,2021-11-08
2021-11-09,322.72549773656687,323.0054145427252,299.5522912930508,306.4802551269531,64674600,306.4802551269531,2021-11-09
2021-11-10,293.47405642004014,308.40968510197473,287.695749763921,294.5037536621094,63620600,294.5037536621094,2021-11-10
2021-11-11,304.5908056113936,305.8104497087869,297.6828246713413,303.81103515625,33217200,303.81103515625,2021-11-11
2021-11-12,300.0121597098879,306.7101801556995,296.2132537548809,303.81103515625,41305400,303.81103515625,2021-11-12
2021-11-15,305.4305246789024,306.35026870236777,292.38435826757353,300.1620788574219,38490900,300.1620788574219,2021-11-15
