,Open,High,Low,Close,Volume,Adj. Close,Date
11/9/2021,24.95999908,25.29000092,24.13999939,25.29000092,1500,25.29000092,2021-11-09
11/10/2021,24.79999924,24.79999924,22.55999947,22.95700073,5600,22.95700073,2021-11-10
11/11/2021,23.61000061,23.62299919,23.27099991,23.27099991,2100,23.27099991,2021-11-11
11/12/2021,22.90999985,23.12299919,22.90999985,23.12299919,2600,23.12299919,2021-11-12
11/15/2021,22.77000046,23.5739994,22.77000046,23.5739994,2000,23.5739994,2021-11-15
11/16/2021,24.01000023,24.02000046,23.63899994,23.63899994,2300,23.63899994,2021-11-16
11/17/2021,23.29000092,23.29000092,22.31999969,22.31999969,2600,22.31999969,2021-11-17
11/18/2021,22.25,22.26000023,22.25,22.26000023,500,22.26000023,2021-11-18
11/19/2021,21.14999962,21.14999962,21.14999962,21.14999962,600,21.14999962,2021-11-19
11/22/2021,20.45999908,20.72999954,20.43000031,20.43000031,1600,20.43000031,2021-11-22
11/23/2021,22.63599968,22.63599968,22.46999931,22.46999931,1500,22.46999931,2021-11-23
11/24/2021,23.38299942,23.38299942,23.38299942,23.38299942,200,23.38299942,2021-11-24
11/26/2021,21.32999992,21.32999992,18.80999947,20.68000031,11400,20.68000031,2021-11-26
11/29/2021,22.36000061,22.71999931,20.73999977,20.76300049,26800,20.76300049,2021-11-29
11/30/2021,19.81999969,20.13999939,19.01000023,19.18000031,7200,19.18000031,2021-11-30
12/1/2021,20.45800018,20.92499924,18.47999954,18.48200035,30600,18.48200035,2021-12-01
12/2/2021,18,20.31999969,17.89999962,20.31999969,58600,20.31999969,2021-12-02
12/3/2021,20.35000038,20.35000038,19.10000038,19.20000076,6200,19.20000076,2021-12-03
12/6/2021,20.18000031,21.32999992,20.15999985,20.90999985,5200,20.90999985,2021-12-06
12/7/2021,21.70999908,22.60000038,21.70999908,22.43000031,58500,22.43000031,2021-12-07
12/8/2021,21.96999931,22.57999992,21.95000076,22.57999992,11300,22.57999992,2021-12-08
12/9/2021,21.17000008,21.62999916,21.12000084,21.12000084,21000,21.12000084,2021-12-09
12/10/2021,20.875,21.90299988,20.79000092,21.90299988,3800,21.90299988,2021-12-10
12/13/2021,20.51000023,20.51000023,19.52000046,19.52000046,3400,19.52000046,2021-12-13
12/14/2021,19.79299927,20.3390007,19.43700027,19.43899918,58800,19.43899918,2021-12-14
12/15/2021,18.90999985,19.29999924,18.01000023,18.84000015,19400,18.84000015,2021-12-15
12/16/2021,20.05999947,20.90999985,19.70000076,20.07999992,12300,20.07999992,2021-12-16
12/17/2021,19.70999908,19.70999908,17.76000023,17.76000023,10000,17.76000023,2021-12-17
12/20/2021,16.42000008,17.73600006,16.29999924,17.73600006,51000,17.73600006,2021-12-20
12/21/2021,18.71999931,19.98999977,18.60000038,19.98999977,32500,19.98999977,2021-12-21
12/22/2021,20.15999985,20.77000046,19.37000084,20.77000046,7000,20.77000046,2021-12-22
12/23/2021,20.45999908,20.45999908,19.85199928,20.19000053,45800,20.19000053,2021-12-23
12/27/2021,19.29999924,21.75,19.29999924,21.75,15600,21.75,2021-12-27
12/28/2021,21.70999908,21.70999908,21,21.22100067,3700,21.22100067,2021-12-28
12/29/2021,20.95000076,21,20.67000008,20.67000008,1200,20.67000008,2021-12-29
12/30/2021,20.70499992,20.70499992,20.13999939,20.13999939,1200,20.13999939,2021-12-30
12/31/2021,20.45999908,20.77000046,20.36599922,20.77000046,2100,20.77000046,2021-12-31
1/3/2022,20.77000046,22.46999931,20.77000046,22.46999931,3200,22.46999931,2022-01-03
1/4/2022,23.04000092,25.22999954,23.04000092,25.01000023,26900,25.01000023,2022-01-04
1/5/2022,25.86000061,26.22999954,24.52400017,24.52400017,111400,24.52400017,2022-01-05
1/6/2022,26.22999954,26.56999969,25.76000023,26.38999939,8400,26.38999939,2022-01-06
1/7/2022,26.68799973,27.76000023,26.46999931,27.76000023,32000,27.76000023,2022-01-07
1/10/2022,27.36000061,27.48999977,26.06999969,26.95000076,56400,26.95000076,2022-01-10
1/11/2022,27.81200027,30.14999962,27.22999954,30.14999962,33000,30.14999962,2022-01-11
1/12/2022,30.76000023,30.76000023,29.52000046,30.33499908,46400,30.33499908,2022-01-12
1/13/2022,29.97999954,30.98999977,29.32999992,29.59000015,22800,29.59000015,2022-01-13
1/14/2022,29.51000023,32.29000092,29.51000023,32.29000092,8200,32.29000092,2022-01-14
1/18/2022,33.5,33.5,30.61000061,32.27000046,52200,32.27000046,2022-01-18
1/19/2022,33.11999893,33.11999893,30.81599998,31.30999947,12400,31.30999947,2022-01-19
1/20/2022,30.29999924,32.70999908,29.53000069,29.53000069,21500,29.53000069,2022-01-20
1/21/2022,29.37000084,29.37000084,26.93600082,27.70000076,30700,27.70000076,2022-01-21
1/24/2022,26.25,28.86000061,24.06500053,28.86000061,66000,28.86000061,2022-01-24
1/25/2022,28,32.27999878,26.72999954,32.27999878,45700,32.27999878,2022-01-25
1/26/2022,33.50999832,34.20000076,31,31.64999962,51900,31.64999962,2022-01-26
1/27/2022,34,35.18999863,31.4279995,33.31999969,52400,33.31999969,2022-01-27
1/28/2022,32.79000092,33.20000076,30.87999916,32.77000046,23300,32.77000046,2022-01-28
1/31/2022,32.34000015,33.63999939,30.79000092,32.95000076,16900,32.95000076,2022-01-31
2/1/2022,32.79999924,36.74000168,32.15000153,36.74000168,67300,36.74000168,2022-02-01
2/2/2022,36.38000107,37.20000076,34.74000168,36.91999817,55800,36.91999817,2022-02-02
2/3/2022,37.00999832,37.00999832,34.75,35.52999878,26700,35.52999878,2022-02-03
2/4/2022,37.45999908,39.52999878,37.07600021,37.93000031,106700,37.93000031,2022-02-04
2/7/2022,37.02000046,39.75,36.20000076,39.02000046,46400,39.02000046,2022-02-07
2/8/2022,38.15000153,38.15000153,35.36000061,36.04000092,55100,36.04000092,2022-02-08
2/9/2022,36.00999832,37.93999863,36.00999832,37.41999817,30000,37.41999817,2022-02-09
2/10/2022,37.13999939,38.88000107,36.02999878,36.02999878,51700,36.02999878,2022-02-10
2/11/2022,37.13000107,40.75,37.13000107,40.75,120300,40.75,2022-02-11
2/14/2022,40.11999893,40.11999893,36.11999893,37.56000137,84000,37.56000137,2022-02-14
2/15/2022,34.90999985,36.11000061,33.75999832,35.54000092,53100,35.54000092,2022-02-15
2/16/2022,36.49000168,38.79000092,36.34000015,36.87400055,53300,36.87400055,2022-02-16
2/17/2022,36.95999908,37.88499832,36.25,36.5,31400,36.5,2022-02-17
2/18/2022,35.97999954,37.24000168,35.14099884,36.09000015,44800,36.09000015,2022-02-18
2/22/2022,39.77000046,39.77000046,32.68999863,33.61999893,111200,33.61999893,2022-02-22
2/23/2022,34.36999893,36.18000031,34.29999924,35.04299927,74400,35.04299927,2022-02-23
2/24/2022,38.54999924,38.54999924,31.84000015,34.63999939,158100,34.63999939,2022-02-24
2/25/2022,35.20999908,37.5,35.02999878,37.5,112500,37.5,2022-02-25
2/28/2022,37.06999969,40.90000153,36.18000031,40.90000153,135600,40.90000153,2022-02-28
3/1/2022,42.40999985,44.15999985,40.43999863,41.99000168,123200,41.99000168,2022-03-01
3/2/2022,44.25999832,45.68000031,43.5,45.04000092,176400,45.04000092,2022-03-02
3/3/2022,43.40000153,45.79999924,43.02999878,44.40999985,114600,44.40999985,2022-03-03
3/4/2022,45.36000061,50,44.81000137,50,232100,50,2022-03-04
3/7/2022,54.84000015,57,47.79999924,51.61000061,475300,51.61000061,2022-03-07
3/8/2022,53.97000122,58.14300156,48.18999863,52.52000046,545500,52.52000046,2022-03-08
3/9/2022,47.15999985,51.5,44.65599823,48.56999969,195100,48.56999969,2022-03-09
3/10/2022,49.86999893,53.34999847,49.16999817,53.29000092,177500,53.29000092,2022-03-10
3/11/2022,50.88000107,53.41999817,50.10800171,51.52000046,134900,51.52000046,2022-03-11
3/14/2022,48.15999985,48.70999908,44.27000046,46.5,159100,46.5,2022-03-14
3/15/2022,40.97999954,43.56399918,39.04999924,41.97999954,135300,41.97999954,2022-03-15
3/16/2022,42.52999878,43.34000015,40.40999985,41.59000015,45200,41.59000015,2022-03-16
3/17/2022,44.56000137,47.09999847,43.68999863,47.09999847,132300,47.09999847,2022-03-17
3/18/2022,46.40000153,47.20199966,45.63499832,46.52000046,45600,46.52000046,2022-03-18
3/21/2022,49.63999939,53,49.61500168,52.93999863,136800,52.93999863,2022-03-21
3/22/2022,52.36999893,52.54000092,49.27799988,51.70999908,100000,51.70999908,2022-03-22
3/23/2022,54.59999847,55.41899872,53.5,54.21500015,112400,54.21500015,2022-03-23
3/24/2022,54.68000031,56,53.56999969,54.45000076,61700,54.45000076,2022-03-24
3/25/2022,53.66999817,58.72000122,53.66999817,58.65000153,85500,58.65000153,2022-03-25
3/28/2022,55,55,53,54.13999939,89700,54.13999939,2022-03-28
3/29/2022,50.70000076,53.49000168,48.04999924,53.45999908,69000,53.45999908,2022-03-29
3/30/2022,55.70000076,56.74000168,54.31000137,55.40000153,66500,55.40000153,2022-03-30
3/31/2022,54,57,53.09000015,53.09000015,56000,53.09000015,2022-03-31
4/1/2022,53.63999939,56,52.86000061,55.11999893,48200,55.11999893,2022-04-01
4/4/2022,56.54000092,56.54000092,53.29999924,54.9090004,65700,54.9090004,2022-04-04
4/5/2022,55.36000061,57.33800125,51.89500046,51.95000076,42500,51.95000076,2022-04-05
4/6/2022,53.86000061,54.91999817,51.95000076,52.63000107,36800,52.63000107,2022-04-06
4/7/2022,53.13999939,55.22900009,50.50999832,54.65000153,32600,54.65000153,2022-04-07
4/8/2022,55.52000046,59.65999985,55,59.48500061,65925,59.48500061,2022-04-08
