,Open,High,Low,Close,Volume,Adj. Close,Date
2021-04-19,75.5999984741211,75.79000091552734,71.51000213623047,73.91000366210938,16897000,73.91000366210938,2021-04-19
2021-04-20,73.79000091552734,74.23999786376953,70.6510009765625,71.31999969482422,10904800,71.31999969482422,2021-04-20
2021-04-21,70.86000061035156,72.94000244140625,69.8499984741211,72.51000213623047,9923500,72.51000213623047,2021-04-21
2021-04-22,73.97000122070312,74.22000122070312,71.43000030517578,71.98999786376953,11826400,71.98999786376953,2021-04-22
2021-04-23,74.97000122070312,75.88999938964844,72.35299682617188,74.98999786376953,14231700,74.98999786376953,2021-04-23
2021-04-26,74.88999938964844,76.73999786376953,74.12999725341797,76.7300033569336,9903900,76.7300033569336,2021-04-26
2021-04-27,76.38999938964844,78.62999725341797,75.94999694824219,77.58000183105469,19171800,77.58000183105469,2021-04-27
2021-04-28,69.19000244140625,69.66999816894531,65.83000183105469,66.33000183105469,60523500,66.33000183105469,2021-04-28
2021-04-29,67.11000061035156,68.4000015258789,65.36000061035156,68.20999908447266,21440300,68.20999908447266,2021-04-29
2021-04-30,66.91999816894531,67.41100311279297,65.80999755859375,66.37000274658203,14473300,66.37000274658203,2021-04-30
2021-05-03,66.70999908447266,67.37000274658203,63.25,63.709999084472656,15241900,63.709999084472656,2021-05-03
2021-05-04,62.93000030517578,63.21799850463867,59.849998474121094,62.29999923706055,21606000,62.29999923706055,2021-05-04
2021-05-05,62.900001525878906,63.119998931884766,61.25,61.83000183105469,13432300,61.83000183105469,2021-05-05
2021-05-06,61.040000915527344,61.07500076293945,57.04999923706055,59.220001220703125,25708600,59.220001220703125,2021-05-06
2021-05-07,60.099998474121094,61.33000183105469,58.90999984741211,59.86000061035156,15522400,59.86000061035156,2021-05-07
2021-05-10,58.5099983215332,60.13999938964844,57.19499969482422,58.36000061035156,17872200,58.36000061035156,2021-05-10
2021-05-11,55.86000061035156,60.34000015258789,55.60300064086914,59.709999084472656,16676700,59.709999084472656,2021-05-11
2021-05-12,58.439998626708984,59.40999984741211,55.25,57.119998931884766,15598600,57.119998931884766,2021-05-12
2021-05-13,57.72999954223633,57.79999923706055,53.939998626708984,55.45000076293945,13914500,55.45000076293945,2021-05-13
2021-05-14,55.849998474121094,58.29999923706055,55.58000183105469,58.04999923706055,9818600,58.04999923706055,2021-05-14
2021-05-17,57.5,58.130001068115234,56.34000015258789,58.099998474121094,7426000,58.099998474121094,2021-05-17
2021-05-18,58.939998626708984,60.08000183105469,58.15999984741211,58.279998779296875,7765500,58.279998779296875,2021-05-18
2021-05-19,56.63999938964844,58.70000076293945,56.130001068115234,58.630001068115234,7106600,58.630001068115234,2021-05-19
2021-05-20,58.720001220703125,61.83000183105469,58.71990122070312,61.34000015258789,13620700,61.34000015258789,2021-05-20
2021-05-21,61.41999816894531,61.97999954223633,60.474998474121094,60.86000061035156,8880300,60.86000061035156,2021-05-21
2021-05-24,61.2599983215332,63.52000045776367,60.77000045776367,62.90999984741211,7441200,62.90999984741211,2021-05-24
2021-05-25,63.130001068115234,64.51499938964844,62.75,63.7599983215332,8825500,63.7599983215332,2021-05-25
