,Open,High,Low,Close,Volume,Adj. Close,Date
2021-04-30,32.968623256576635,33.05778134649671,32.61199089689633,32.701148986816406,435200,32.701148986816406,2021-04-30
2021-05-03,32.73086876698983,32.85964972715297,32.3146964477539,32.314796447753906,583200,32.314796447753906,2021-05-03
2021-05-04,31.997791825101586,32.05326763230188,31.22509092252268,31.6807861328125,853100,31.6807861328125,2021-05-04
2021-05-05,32.00769986686809,32.05723129693263,31.502469454794486,31.631254196166992,435500,31.631254196166992,2021-05-05
2021-05-06,31.581721682088084,31.581821682088083,30.767413916361033,31.155746459960938,816500,31.155746459960938,2021-05-06
2021-05-07,31.512378226550297,31.859103928703156,31.477705845285318,31.65106964111328,806300,31.65106964111328,2021-05-07
2021-05-10,31.57181818673738,31.57191818673738,30.888273447598216,30.9080867767334,670900,30.9080867767334,2021-05-10
2021-05-11,30.09575561717701,31.040830202031962,30.05613085060919,30.92789649963379,709200,30.92789649963379,2021-05-11
2021-05-12,30.521735179560636,30.779302796247183,29.97688184124498,30.056133270263672,1082700,30.056133270263672,2021-05-12
2021-05-13,30.27407291954787,30.53164052510493,29.749032933549618,30.115570068359375,719400,30.115570068359375,2021-05-13
2021-05-14,30.452386603807437,31.086397956601473,30.343415193982384,30.977428436279297,280400,30.977428436279297,2021-05-14
2021-05-17,30.92789821636551,31.03686963710593,30.64061250191767,30.9080867767334,364700,30.9080867767334,2021-05-17
2021-05-18,31.096305550231875,31.403406461741543,30.967522698907416,31.066587448120117,283100,31.066587448120117,2021-05-18
2021-05-19,30.422666905292616,31.046773490008828,30.37412557595958,31.00714683532715,379600,31.00714683532715,2021-05-19
2021-05-20,31.205275923013687,31.774896794869846,31.185462595931085,31.700597763061523,348900,31.700597763061523,2021-05-20
2021-05-21,31.86900646637234,31.968073105178703,31.62134742736816,31.621347427368164,387200,31.621347427368164,2021-05-21
2021-05-24,31.82938556969459,32.144411076383946,31.76004080771971,31.997793197631836,217700,31.997793197631836,2021-05-24
2021-05-25,32.18601964336501,32.26427908489224,31.908636801724178,31.977981567382812,254700,31.977981567382812,2021-05-25
2021-05-26,32.16620038440468,32.34946704029129,32.15629183170478,32.324703216552734,327900,32.324703216552734,2021-05-26
2021-05-27,32.344519967150354,32.57236757629677,32.106763804255046,32.47330093383789,351700,32.47330093383789,2021-05-27
2021-05-28,32.641712965933884,32.75068438523691,32.51292821775703,32.53274154663086,458800,32.53274154663086,2021-05-28
2021-06-01,32.69619582479959,32.740772976624456,32.25535968806015,32.443580627441406,340400,32.443580627441406,2021-06-01
2021-06-02,32.49311524985932,32.512928578953264,32.28508096288211,32.3841438293457,292700,32.3841438293457,2021-06-02
2021-06-03,32.19592283142852,32.19602283142852,31.794713310041907,32.0077018737793,245600,32.0077018737793,2021-06-03
2021-06-04,32.186017716970866,32.3544253437748,32.18591771697086,32.344520568847656,330400,32.344520568847656,2021-06-04
2021-06-07,32.35442296401989,32.54264390584002,32.21573345120444,32.48320770263672,273200,32.48320770263672,2021-06-07
2021-06-08,32.65161493239423,32.740773015154645,32.28507782727065,32.63180160522461,325100,32.63180160522461,2021-06-08
2021-06-09,32.69123916308162,32.809125238846164,32.582167761230465,32.58226776123047,205700,32.58226776123047,2021-06-09
2021-06-10,32.661527164975354,33.00825098198958,32.58227384736857,32.98843765258789,240800,32.98843765258789,2021-06-10
2021-06-11,33.02805993658322,33.11731801757813,32.95376090591986,33.117218017578125,347200,33.117218017578125,2021-06-11
2021-06-14,33.13703236033592,33.265817098833914,33.07759237818167,33.21628189086914,264900,33.21628189086914,2021-06-14
2021-06-15,33.176660146127624,33.17676014612763,32.74077448681493,32.7704963684082,241800,32.7704963684082,2021-06-15
2021-06-16,32.740774660398436,32.96862226578992,32.463395624096805,32.790306091308594,291600,32.790306091308594,2021-06-16
2021-06-17,32.63180372261591,33.06768939061951,32.63170372261591,33.018157958984375,357900,33.018157958984375,2021-06-17
2021-06-18,32.79030650966782,32.97853124013623,32.66152554345953,32.829933166503906,309600,32.829933166503906,2021-06-18
2021-06-21,32.79623103594965,33.083740449254776,32.48888895320619,33.04408645629883,441900,33.04408645629883,2021-06-21
2021-06-22,33.06390819024039,33.38116279337877,32.9449386595568,33.35142135620117,369900,33.35142135620117,2021-06-22
2021-06-23,33.37125172878554,33.57052768709693,33.352413719479415,33.440650939941406,366200,33.440650939941406,2021-06-23
2021-06-24,33.70833179800921,33.87687164165224,33.64785426817133,33.767818450927734,500600,33.767818450927734,2021-06-24
2021-06-25,33.866963915497976,34.04740187182622,33.8273061412356,33.95619201660156,362000,33.95619201660156,2021-06-25
2021-06-28,34.09498700980508,34.32797168265868,34.07515812467146,34.28335952758789,338400,34.28335952758789,2021-06-28
2021-06-29,34.25361383422832,34.441986349400736,34.21395606451064,34.38249969482422,257300,34.38249969482422,2021-06-29
2021-06-30,34.33293254461696,34.33303254461696,34.09994785347374,34.11481857299805,270700,34.11481857299805,2021-06-30
2021-07-01,34.16438331554689,34.21395363318486,33.90661539464577,34.0850715637207,241100,34.0850715637207,2021-07-01
2021-07-02,34.20404640097104,34.25659313938222,34.040460923553646,34.1743049621582,231300,34.1743049621582,2021-07-02
2021-07-06,34.134645612243624,34.18421593529958,33.84713244375654,34.10490417480469,315900,34.10490417480469,2021-07-06
2021-07-07,34.24369958539379,34.30318245504878,33.6587607479581,33.92644500732422,615900,33.92644500732422,2021-07-07
2021-07-08,33.21262185103112,33.7777318307147,33.05399455466333,33.58936309814453,392100,33.58936309814453,2021-07-08
2021-07-09,33.69842356649514,34.09003179032844,33.62406618630868,34.05533218383789,194300,34.05533218383789,2021-07-09
2021-07-12,34.17430581062947,34.21395980270664,33.90959413991349,33.995849609375,272800,33.995849609375,2021-07-12
2021-07-13,33.956187444574695,34.02558664920284,33.67561421330773,33.70833206176758,532500,33.70833206176758,2021-07-13
2021-07-14,33.827303747179215,33.896702956240034,33.20370174262227,33.252281188964844,285400,33.252281188964844,2021-07-14
2021-07-15,33.123393344305285,33.31275673341313,32.62768257663716,32.855709075927734,332200,32.855709075927734,2021-07-15
2021-07-16,32.974677659253516,33.05597494896755,32.627681644587405,32.64751052856445,249800,32.64751052856445,2021-07-16
2021-07-19,32.18154367724142,32.607855260499015,32.013003823474705,32.51862716674805,474000,32.51862716674805,2021-07-19
2021-07-20,32.697085848871986,33.28202477876215,32.48888820822637,33.20271301269531,685000,33.20271301269531,2021-07-20
2021-07-21,33.232452739691404,33.559719903564456,33.17296608172662,33.55961990356445,203800,33.55961990356445,2021-07-21
2021-07-22,33.58936503390549,33.67859312962792,33.44065028037701,33.57944869995117,288900,33.57944869995117,2021-07-22
2021-07-23,33.70833464628257,33.97601893407514,33.57944877838838,33.966102600097656,278000,33.966102600097656,2021-07-23
2021-07-26,33.86696495034917,33.92645161356043,33.64191104560555,33.73807907104492,226700,33.73807907104492,2021-07-26
2021-07-27,33.69842117849034,33.698521178490346,32.89536833693639,33.35142135620117,249000,33.35142135620117,2021-07-27
2021-07-28,33.41090757300701,33.94627612700017,33.410807573007006,33.85704803466797,234400,33.85704803466797,2021-07-28
2021-07-29,33.946274418290834,34.03649338304492,33.78764712679301,33.807472229003906,169500,33.807472229003906,2021-07-29
2021-07-30,33.51599660260919,33.88678880608751,33.47038978938889,33.58936309814453,175500,33.58936309814453,2021-07-30
2021-08-02,33.728162793721275,33.90661898167535,33.625054858058334,33.71824645996094,333200,33.71824645996094,2021-08-02
2021-08-03,33.71824414116307,33.81243039554311,33.43073477542967,33.807472229003906,256300,33.807472229003906,2021-08-03
2021-08-04,33.747990759530374,34.01567503416624,33.728161874523295,33.91653060913086,410100,33.91653060913086,2021-08-04
2021-08-05,33.87687589424495,34.144560193021476,33.80747668144809,34.07516098022461,222000,34.07516098022461,2021-08-05
2021-08-06,34.045417039275996,34.045517039276,33.67859211545158,33.79756164550781,167000,33.79756164550781,2021-08-06
2021-08-09,33.837219149486025,33.916530908240674,33.629017746062146,33.85704803466797,218500,33.85704803466797,2021-08-09
2021-08-10,33.97601689666771,33.97611689666771,33.541774531036886,33.58936309814453,201900,33.58936309814453,2021-08-10
2021-08-11,33.678591844731756,33.67869184473176,33.1432232908224,33.450565338134766,277800,33.450565338134766,2021-08-11
2021-08-12,33.44064861769839,33.569534478883284,33.3117627565135,33.529876708984375,212100,33.529876708984375,2021-08-12
2021-08-13,33.51004856834388,33.55961889083199,33.35241214417153,33.37125015258789,169000,33.37125015258789,2021-08-13
2021-08-16,33.25227960737128,33.31176247975234,32.895367245192645,33.18288040161133,271900,33.18288040161133,2021-08-16
2021-08-17,32.944936812653715,33.00442346564727,32.63759477847982,32.93502426147461,456300,32.93502426147461,2021-08-17
2021-08-18,32.935023408669345,33.09365069723841,32.67725170101155,32.70699691772461,309700,32.70699691772461,2021-08-18
2021-08-19,32.44922962061076,32.805151136866776,32.369917856532496,32.568199157714844,449200,32.568199157714844,2021-08-19
2021-08-20,32.6177695890767,32.95495305786133,32.6176695890767,32.95485305786133,249400,32.95485305786133,2021-08-20
2021-08-23,33.07382573145006,33.529878767365,33.073725731450054,33.50013732910156,234200,33.50013732910156,2021-08-23
2021-08-24,33.69841877687156,33.91256542962951,33.67858989284193,33.86695861816406,385000,33.86695861816406,2021-08-24
2021-08-25,33.906615102780385,34.18421190474172,33.83126685910905,34.144554138183594,296100,34.144554138183594,2021-08-25
2021-08-26,34.174305993071115,34.32301697359475,33.91851977843377,33.95619201660156,201300,33.95619201660156,2021-08-26
2021-08-27,34.015674517737295,34.50146895612942,34.01557451773729,34.441986083984375,220100,34.441986083984375,2021-08-27
2021-08-30,34.48263594327376,34.670017607197984,34.39241696307531,34.590702056884766,294800,34.590702056884766,2021-08-30
2021-08-31,34.52129951246387,34.6006150551287,34.39241364662013,34.49155807495117,264000,34.49155807495117,2021-08-31
2021-09-01,34.600614220563166,34.79889550849625,34.55302565250675,34.670013427734375,215700,34.670013427734375,2021-09-01
2021-09-02,34.83855644193703,34.94761342938562,34.72949945448843,34.808815002441406,315600,34.808815002441406,2021-09-02
2021-09-03,34.868296856753815,35.06162755371438,34.820712067748595,35.02692794799805,208600,35.02692794799805,2021-09-03
2021-09-07,35.07649741042809,35.07659741042809,34.76915535166057,34.79889678955078,229100,34.79889678955078,2021-09-07
2021-09-08,34.729497318996934,34.749326204765914,34.34284350143498,34.451900482177734,316200,34.451900482177734,2021-09-08
2021-09-09,34.41918048951509,34.67992483728877,34.402328017745546,34.501468658447266,272900,34.501468658447266,2021-09-09
