,Open,High,Low,Close,Volume,Adj. Close,Date
2021-04-22,114.8764801314797,114.88630415594261,113.26445520743565,113.94268035888672,5744900,113.94268035888672,2021-04-22
2021-04-23,114.04097813667853,115.96755191078,113.86404819821027,115.5547103881836,4555800,115.5547103881836,2021-04-23
2021-04-26,114.95510982345954,115.24999554096371,113.09734930124712,113.94268035888672,5924900,113.94268035888672,2021-04-26
2021-04-27,113.69695414930973,114.40467393035584,113.30377565992234,114.16876983642578,7260900,114.16876983642578,2021-04-27
2021-04-28,111.50498804475743,112.20287624752615,109.70620165634004,110.48272705078125,14793500,110.48272705078125,2021-04-28
2021-04-29,111.27891376860731,113.18582451972438,110.83659266619112,112.67469024658203,8936600,112.67469024658203,2021-04-29
2021-04-30,112.05543156058472,112.9892238238875,111.55412884591695,112.53707122802734,6478700,112.53707122802734,2021-04-30
2021-05-03,113.21530396331902,114.74869168089388,113.16615384447152,113.74609375,5049800,113.74609375,2021-05-03
2021-05-04,113.18581226693175,113.43154785261798,111.60327449517199,112.1635513305664,6265100,112.1635513305664,2021-05-04
2021-05-05,112.26184762743408,112.92041721815063,111.22976263435334,111.54430389404297,4677700,111.54430389404297,2021-05-05
2021-05-06,111.7114028036836,112.85161206300134,111.17078149586794,112.78280639648438,4113300,112.78280639648438,2021-05-06
2021-05-07,113.14649536412313,113.86403908546683,112.29133281342406,112.3896255493164,4867500,112.3896255493164,2021-05-07
2021-05-10,112.61571005604816,114.10977919891005,112.26185019340225,112.3503189086914,5759500,112.3503189086914,2021-05-10
2021-05-11,111.38703334985813,111.75072474046934,110.25664808105802,111.61311340332031,7775400,111.61311340332031,2021-05-11
2021-05-12,110.39928298248836,110.91244339312924,108.11964670664563,108.34662628173828,7965300,108.34662628173828,2021-05-12
2021-05-13,108.71175869720673,109.71834570925071,107.72490543755494,109.03741455078125,7999400,109.03741455078125,2021-05-13
2021-05-14,109.55059349670016,110.12296272284017,108.80058283567313,109.73809051513672,6836300,109.73809051513672,2021-05-14
2021-05-17,109.75782351511295,109.80716166188587,108.38609805188081,109.52098083496094,4521200,109.52098083496094,2021-05-17
2021-05-18,109.90585361532987,110.73480676494675,109.55058582861032,109.60979461669922,5177300,109.60979461669922,2021-05-18
2021-05-19,108.1591157634105,108.49464978685573,107.44858021173151,108.22819519042969,5997400,108.22819519042969,2021-05-19
2021-05-20,108.53412726440123,110.22164547308715,108.42557280105655,109.94532775878906,5345500,109.94532775878906,2021-05-20
2021-05-21,110.16242638368523,110.7446737205241,109.11636434043014,109.46176147460938,5146500,109.46176147460938,2021-05-21
2021-05-24,110.33020526450568,111.54403064366086,110.05388000777025,111.04073333740234,5476100,111.04073333740234,2021-05-24
2021-05-25,111.43547272301191,111.66245229459699,110.70520338985268,111.14928436279297,5391800,111.14928436279297,2021-05-25
2021-05-26,111.81048254799184,112.37298863107985,111.14928511105877,111.36639404296875,3841600,111.36639404296875,2021-05-26
