,Open,High,Low,Close,Volume,Adj. Close,Date
4/2/2020,238.1856418,245.4616649,237.6027761,244.6359558,177660400,244.6359558,2020-04-02
4/3/2020,243.59652,246.0834008,238.214788,241.0999451,135561200,241.0999451,2020-04-03
4/6/2020,250.474253,259.3725818,241.0804987,257.2937012,188061200,257.2937012,2020-04-06
4/7/2020,266.3766287,267.1732108,257.3228958,257.5560303,201427200,257.5560303,2020-04-07
4/8/2020,260.3051172,268.1154449,257.6725426,266.2017212,153774500,266.2017212,2020-04-08
4/9/2020,269.6502808,273.1668921,267.600572,270.252594,189999200,270.252594,2020-04-09
4/13/2020,269.2229181,269.5823435,263.6565971,267.7851868,114839100,267.7851868,2020-04-13
4/14/2020,272.9532288,276.7612292,267.6394896,275.6829529,134143400,275.6829529,2020-04-14
4/15/2020,269.6405902,275.828612,267.5908517,269.8251648,121775000,269.8251648,2020-04-15
4/16/2020,271.1754824,272.0303481,267.8823403,271.1269226,131798300,271.1269226,2020-04-16
4/17/2020,277.2275535,279.0926883,274.3326725,278.4515686,146684800,278.4515686,2020-04-17
4/20/2020,274.5366272,278.5972391,273.312642,273.5457764,100109300,273.5457764,2020-04-20
4/21/2020,268.8246411,270.0972158,264.2491707,265.2400513,126385700,265.2400513,2020-04-21
4/22/2020,270.3983479,272.9726391,268.9994822,271.1269226,92951600,271.1269226,2020-04-22
4/23/2020,272.4772069,275.8286623,270.7869231,271.1074829,104709700,271.1074829,2020-04-23
4/24/2020,272.7103525,275.5955092,270.5440465,274.8863525,85063200,274.8863525,2020-04-24
4/27/2020,276.9749342,280.0349418,276.4892177,278.8497925,77896600,278.8497925,2020-04-27
4/28/2020,282.7064252,283.0755745,277.2469764,277.5675659,105270000,277.5675659,2020-04-28
4/29/2020,283.2018316,286.4561378,282.1138315,284.8338318,118745600,284.8338318,2020-04-29
4/30/2020,283.3766672,284.9406895,280.3458014,282.1818237,122901700,282.1818237,2020-04-30
5/1/2020,277.1595176,282.3566895,273.4777786,274.7115173,125180000,274.7115173,2020-05-01
5/4/2020,272.7200665,275.7897981,271.1560738,275.4692383,80873200,275.4692383,2020-05-04
5/5/2020,278.4515304,280.986956,275.6052096,278.0143738,79569900,278.0143738,2020-05-05
5/6/2020,279.8114992,280.2194843,275.6731862,276.1297607,73632600,276.1297607,2020-05-06
5/7/2020,279.5298299,281.5018376,278.9275462,279.4618225,75250400,279.4618225,2020-05-07
5/8/2020,282.7744056,284.5812862,281.5795324,284.0858459,76452400,284.0858459,2020-05-08
5/11/2020,282.0458358,285.6012839,281.598985,284.1441345,79514200,284.1441345,2020-05-11
5/12/2020,285.3972799,285.8344069,278.3349437,278.4806824,95870800,278.4806824,2020-05-12
5/13/2020,277.8880629,278.9857867,270.9908841,273.555481,144721100,273.555481,2020-05-13
5/14/2020,270.9811786,276.9651783,265.191418,276.8291931,121977900,276.8291931,2020-05-14
5/15/2020,274.3035607,278.1504275,273.3029858,278.1018677,111146300,278.1018677,2020-05-15
5/18/2020,284.6783566,288.2726697,284.3383789,286.5726624,119703800,286.5726624,2020-05-18
5/19/2020,285.9412876,287.7481386,283.6098545,283.6292725,95189300,283.6292725,2020-05-19
5/20/2020,287.3692945,289.3607201,287.1264363,288.4475708,85861700,288.4475708,2020-05-20
5/21/2020,288.3116174,289.1664832,285.3001691,286.4561768,78293900,286.4561768,2020-05-21
5/22/2020,286.1549802,287.1846967,284.84354,287.0001221,63958200,287.0001221,2020-05-22
5/26/2020,293.3047533,293.5573353,287.0195807,290.5361633,88951400,290.5361633,2020-05-26
5/27/2020,293.4893457,294.8979354,288.3893222,294.8590698,104817400,294.8590698,2020-05-27
5/28/2020,295.9470331,298.0744736,293.6058763,294.315033,90405200,294.315033,2020-05-28
5/29/2020,293.8195842,296.2481665,290.9150094,295.6264648,119090800,295.6264648,2020-05-29
6/1/2020,294.9464611,297.4624689,294.4024611,296.8213196,55758300,296.8213196,2020-06-01
6/2/2020,297.7927615,299.3276422,296.3842015,299.2790527,74267200,299.2790527,2020-06-02
6/3/2020,301.3773197,304.2722003,301.0859017,303.2619019,92567600,303.2619019,2020-06-03
6/4/2020,302.2224738,304.0584962,300.2504662,302.465332,75794400,302.465332,2020-06-04
6/5/2020,308.1676978,312.0922658,308.0996904,310.2174072,150524700,310.2174072,2020-06-05
6/8/2020,311.0722518,314.1711252,310.4991099,313.9671326,73641200,313.9671326,2020-06-08
6/9/2020,311.1499543,314.0448351,310.2368049,311.6259766,77479200,311.6259766,2020-06-09
6/10/2020,312.2379963,313.1802875,309.129399,309.8871155,95000800,309.8871155,2020-06-10
6/11/2020,302.562515,303.2328061,291.4396249,292.0224609,209243600,292.0224609,2020-06-11
6/12/2020,299.4344966,300.2504967,290.0698979,295.5196228,194678900,295.5196228,2020-06-12
6/15/2020,289.5064346,299.4733461,288.2630016,298.2784729,135782700,298.2784729,2020-06-15
6/16/2020,306.4676834,306.6231162,298.8807943,304.0196533,137627500,304.0196533,2020-06-16
6/17/2020,305.0979625,305.4088281,301.9796413,302.7568054,83398900,302.7568054,2020-06-17
6/18/2020,301.1539265,303.3784865,300.66821,302.8733521,80828700,302.8733521,2020-06-18
6/19/2020,306.5380877,306.742978,299.0836669,301.1424255,135549600,301.1424255,2020-06-19
6/22/2020,300.5082246,303.493888,299.2983565,303.0743408,74649400,303.0743408,2020-06-22
6/23/2020,305.8746261,306.8601005,304.0402907,304.4696045,68471200,304.4696045,2020-06-23
6/24/2020,302.3132921,302.9670294,294.7613235,296.7029724,132813500,296.7029724,2020-06-24
6/25/2020,296.0980683,300.1667832,293.9612657,299.8838196,89468000,299.8838196,2020-06-25
6/26/2020,298.7227296,298.9471531,292.146468,292.7611389,127961000,292.7611389,2020-06-26
6/29/2020,294.0880682,297.210315,291.6683023,297.0639648,79773300,297.0639648,2020-06-29
6/30/2020,296.6054241,302.6645914,296.4395704,300.8692627,113394800,300.8692627,2020-06-30
7/1/2020,302.0498412,304.3134902,301.5619873,302.9767456,72396500,302.9767456,2020-07-01
7/2/2020,306.6063854,308.0309401,303.9427224,304.6452332,69344200,304.6452332,2020-07-02
7/6/2020,308.6846399,309.9628146,307.8943191,309.348114,61713800,309.348114,2020-07-06
7/7/2020,307.7187005,309.8066995,305.7575185,306.1575623,82910000,306.1575623,2020-07-07
7/8/2020,306.9673689,308.6163172,305.1037935,308.4992371,54638600,308.4992371,2020-07-08
7/9/2020,309.143275,309.3969686,303.132911,306.743042,83354200,306.743042,2020-07-09
7/10/2020,306.6747102,310.1579941,305.162375,309.8750305,57550400,309.8750305,2020-07-10
7/13/2020,312.353367,314.8706802,306.4991198,307.191864,102997500,307.191864,2020-07-13
7/14/2020,305.6892569,311.992351,304.4208486,311.17276,93657000,311.17276,2020-07-14
7/15/2020,314.5780103,315.1927111,311.514273,314.0316162,87196500,314.0316162,2020-07-15
7/16/2020,312.0216067,313.4754017,311.3385993,312.9973145,54622500,312.9973145,2020-07-16
7/17/2020,314.0608409,314.7340817,311.9728119,313.9047241,62774900,313.9047241,2020-07-17
7/20/2020,313.621749,317.2318798,312.8314281,316.4415588,56308800,316.4415588,2020-07-20
7/21/2020,318.5197981,318.9881188,316.0707622,317.1147766,57292200,317.1147766,2020-07-21
7/22/2020,316.7342544,319.2515972,316.6171743,318.9198303,57792900,318.9198303,2020-07-22
7/23/2020,318.5393067,319.2808541,313.6705346,315.114563,75738000,315.114563,2020-07-23
7/24/2020,313.1534507,314.1681655,311.4947355,313.085144,73766600,313.085144,2020-07-24
7/27/2020,313.8168839,315.5536425,312.9777598,315.3682556,48293000,315.3682556,2020-07-27
7/28/2020,314.5974747,315.7781026,313.0558694,313.368103,57495000,313.368103,2020-07-28
7/29/2020,314.2949836,317.8173042,314.255947,317.2221069,48454200,317.2221069,2020-07-29
7/30/2020,314.0803154,316.5293514,311.8752362,316.090271,61861700,316.090271,2020-07-30
7/31/2020,317.9832006,318.6954781,313.5242084,318.5881348,84986800,318.5881348,2020-07-31
8/3/2020,320.3443642,321.6127723,319.7687002,320.802948,53077900,320.802948,2020-08-03
8/4/2020,319.8955149,322.0420837,319.8955149,322.0420837,41917900,322.0420837,2020-08-04
8/5/2020,323.4178599,324.3155241,323.1348963,324.0422974,42697700,324.0422974,2020-08-05
8/6/2020,323.4276004,326.3351903,323.0860967,326.2083435,43679400,326.2083435,2020-08-06
8/7/2020,325.1838945,326.745033,324.2276902,326.4425659,57308300,326.4425659,2020-08-07
8/10/2020,326.9206839,327.6134282,324.8716914,327.4183044,44282100,327.4183044,2020-08-10
8/11/2020,328.667211,329.3404519,323.9447884,324.7155762,69601100,324.7155762,2020-08-11
8/12/2020,327.2914129,330.0624193,327.2621428,329.2428284,53774400,329.2428284,2020-08-12
8/13/2020,328.4329261,330.0331009,327.6718754,328.647583,41816100,328.647583,2020-08-13
8/14/2020,328.237832,329.2233063,327.4670146,328.6573792,47260400,328.6573792,2020-08-14
8/17/2020,329.7306861,330.1209632,328.6671682,329.701416,35481000,329.701416,2020-08-17
8/18/2020,330.1209661,330.8625135,328.4329809,330.4136963,38733900,330.4136963,2020-08-18
8/19/2020,330.8136988,331.3600928,328.4427361,329.0379333,68054200,329.0379333,2020-08-19
8/20/2020,327.2133288,330.5697657,327.0767452,330.0624084,42207800,330.0624084,2020-08-20
8/21/2020,329.7111747,331.4674367,329.3501378,331.2332764,55106600,331.2332764,2020-08-21
8/24/2020,333.8091072,334.6677347,331.2039843,334.5896912,48588700,334.5896912,2020-08-24
8/25/2020,335.1849255,335.8483997,333.9555241,335.7605896,38463400,335.7605896,2020-08-25
8/26/2020,336.3850637,339.4097344,335.8093996,339.1268005,50790200,339.1268005,2020-08-26
8/27/2020,340.0439667,341.4001852,338.1120544,339.8683167,58034100,339.8683167,2020-08-27
8/28/2020,340.9513377,342.2002425,339.6926663,342.0636292,48588900,342.0636292,2020-08-28
8/31/2020,341.8391767,342.766081,340.5805055,340.8244324,66099200,340.8244324,2020-08-31
9/1/2020,341.7025599,344.1418289,340.7561223,344.0345154,54908700,344.0345154,2020-09-01
9/2/2020,346.0542878,350.0351624,344.8443899,349.0106812,69540000,349.0106812,2020-09-02
9/3/2020,347.2251238,347.7227443,334.2677257,336.9997253,148011100,336.9997253,2020-09-03
9/4/2020,337.7217474,339.3804328,326.735268,334.24823,139156300,334.24823,2020-09-04
9/8/2020,328.530578,334.3165481,324.7936301,325.1156006,114465300,325.1156006,2020-09-08
9/9/2020,329.3501912,334.1409205,328.4330234,331.5357971,91462300,331.5357971,2020-09-09
9/10/2020,333.51647,334.2092143,324.7643693,325.7791138,90569500,325.7791138,2020-09-10
9/11/2020,327.6622016,328.7842596,322.9592828,325.9449463,84680200,325.9449463,2020-09-11
9/14/2020,329.2915994,332.1114091,326.1010458,330.2380371,65605700,330.2380371,2020-09-14
9/15/2020,332.8334292,333.7115602,330.2478095,331.9065247,52920900,331.9065247,2020-09-15
9/16/2020,333.2140121,334.7263474,330.2966252,330.5893555,82096000,330.5893555,2020-09-16
9/17/2020,325.4570891,329.4965336,324.9009285,327.6817017,91523300,327.6817017,2020-09-17
9/18/2020,328.5329873,328.6505361,321.2838531,323.9092102,105877900,323.9092102,2020-09-18
9/21/2020,319.0601313,320.4609715,315.1710645,320.3042297,99450800,320.3042297,2020-09-21
9/22/2020,321.8716329,324.1541193,319.2168586,323.5663452,63612100,323.5663452,2020-09-22
9/23/2020,324.1540868,324.4479888,315.5335004,316.0625,93112200,316.0625,2020-09-23
9/24/2020,314.6714507,320.1376809,313.2803863,316.9049683,76681300,316.9049683,2020-09-24
