,Open,High,Low,Close,Volume,Adj. Close,Date
2021-10-14,10.420000076293945,10.8100004196167,10.369999885559082,10.390000343322754,14890300,10.390000343322754,2021-10-14
2021-10-15,10.460000038146973,10.529999732971191,10.1899995803833,10.239999771118164,13108300,10.239999771118164,2021-10-15
2021-10-18,10.210000038146973,10.239999771118164,9.979999542236328,10.069999694824219,13975100,10.069999694824219,2021-10-18
2021-10-19,10.170000076293945,11.829999923706055,10.029999732971191,11.65999984741211,68798000,11.65999984741211,2021-10-19
2021-10-20,11.550000190734863,11.800000190734863,11.020000457763672,11.59000015258789,44082000,11.59000015258789,2021-10-20
2021-10-21,11.460000038146973,12.15999984741211,11.420000076293945,11.5600004196167,30666900,11.5600004196167,2021-10-21
2021-10-22,11.529999732971191,11.530099732971191,10.9399995803833,11.079999923706055,18841500,11.079999923706055,2021-10-22
2021-10-25,11.050000190734863,11.289999961853027,10.880000114440918,11.0,13868500,11.0,2021-10-25
2021-10-26,11.069999694824219,11.140000343322754,10.579999923706055,10.710000038146973,15137800,10.710000038146973,2021-10-26
2021-10-27,10.699999809265137,10.829999923706055,10.289999961853027,10.300000190734863,15093900,10.300000190734863,2021-10-27
2021-10-28,10.329999923706055,10.569999694824219,10.1899995803833,10.5,11171600,10.5,2021-10-28
2021-10-29,10.430000305175781,10.640000343322754,10.220000267028809,10.300000190734863,11177500,10.300000190734863,2021-10-29
2021-11-01,10.239999771118164,10.880000114440918,10.100000381469727,10.75,17396100,10.75,2021-11-01
2021-11-02,10.720000267028809,10.729999542236328,10.239999771118164,10.420000076293945,14972500,10.420000076293945,2021-11-02
2021-11-03,10.380000114440918,11.09000015258789,10.319999694824219,10.859999656677246,17924500,10.859999656677246,2021-11-03
2021-11-04,11.130000114440918,11.279999732971191,10.699999809265137,10.8100004196167,14915500,10.8100004196167,2021-11-04
2021-11-05,10.75,10.770000457763672,10.15999984741211,10.699999809265137,24516500,10.699999809265137,2021-11-05
2021-11-08,10.739999771118164,12.569999694824219,10.6899995803833,12.369999885559082,48931600,12.369999885559082,2021-11-08
