,Open,High,Low,Close,Volume,Adj. Close,Date
2021-01-04,719.4600219726562,744.489990234375,717.1900024414062,729.77001953125,48638200,729.77001953125,2021-01-04
2021-01-05,723.6599731445312,740.8400268554688,719.2000122070312,735.1099853515625,32245200,735.1099853515625,2021-01-05
2021-01-06,758.489990234375,774.0,749.0999755859375,755.97998046875,44700000,755.97998046875,2021-01-06
2021-01-07,777.6300048828125,816.989990234375,775.2000122070312,816.0399780273438,51498900,816.0399780273438,2021-01-07
2021-01-08,856.0,884.489990234375,838.3900146484375,880.02001953125,75055500,880.02001953125,2021-01-08
2021-01-11,849.4000244140625,854.4299926757812,803.6199951171875,811.1900024414062,59301600,811.1900024414062,2021-01-11
2021-01-12,831.0,868.0,827.3400268554688,849.4400024414062,46270700,849.4400024414062,2021-01-12
2021-01-13,852.760009765625,860.469970703125,832.0,854.4099731445312,33312500,854.4099731445312,2021-01-13
2021-01-14,843.3900146484375,863.0,838.75,845.0,31266300,845.0,2021-01-14
2021-01-15,852.0,859.9000244140625,819.0999755859375,826.1599731445312,38777600,826.1599731445312,2021-01-15
2021-01-19,837.7999877929688,850.0,833.0,844.5499877929688,25367000,844.5499877929688,2021-01-19
2021-01-20,858.739990234375,859.5,837.280029296875,850.4500122070312,25665900,850.4500122070312,2021-01-20
2021-01-21,855.0,855.719970703125,841.4199829101562,844.989990234375,20521100,844.989990234375,2021-01-21
2021-01-22,834.3099975585938,848.0,828.6199951171875,846.6400146484375,20066500,846.6400146484375,2021-01-22
2021-01-25,855.0,900.4000244140625,838.8200073242188,880.7999877929688,41173400,880.7999877929688,2021-01-25
2021-01-26,891.3800048828125,895.9000244140625,871.5999755859375,883.0900268554688,23131600,883.0900268554688,2021-01-26
2021-01-27,870.3499755859375,891.5,858.6599731445312,864.1599731445312,27334000,864.1599731445312,2021-01-27
2021-01-28,820.0,848.0,801.0,835.4299926757812,26378000,835.4299926757812,2021-01-28
2021-01-29,830.0,842.4099731445312,780.0999755859375,793.530029296875,34990800,793.530029296875,2021-01-29
2021-02-01,814.2899780273438,842.0,795.5599975585938,839.8099975585938,25391400,839.8099975585938,2021-02-01
2021-02-02,844.6799926757812,880.5,842.2000122070312,872.7899780273438,24346200,872.7899780273438,2021-02-02
2021-02-03,877.02001953125,878.0800170898438,853.0599975585938,854.6900024414062,18343500,854.6900024414062,2021-02-03
2021-02-04,855.0,856.5,833.4199829101562,849.989990234375,15812700,849.989990234375,2021-02-04
2021-02-05,845.0,864.77001953125,838.969970703125,852.22998046875,18566600,852.22998046875,2021-02-05
2021-02-08,869.6699829101562,877.77001953125,854.75,863.4199829101562,20161700,863.4199829101562,2021-02-08
2021-02-09,855.1199951171875,859.7999877929688,841.75,849.4600219726562,15157700,849.4600219726562,2021-02-09
2021-02-10,843.6400146484375,844.8200073242188,800.02001953125,804.8200073242188,36216100,804.8200073242188,2021-02-10
2021-02-11,812.4400024414062,829.8800048828125,801.72998046875,811.6599731445312,21622800,811.6599731445312,2021-02-11
2021-02-12,801.260009765625,817.3300170898438,785.3300170898438,816.1199951171875,23768300,816.1199951171875,2021-02-12
2021-02-16,818.0,821.0,792.4400024414062,796.219970703125,19802300,796.219970703125,2021-02-16
2021-02-17,779.0900268554688,799.8400268554688,762.010009765625,798.1500244140625,25996500,798.1500244140625,2021-02-17
2021-02-18,780.9000244140625,794.6900024414062,776.27001953125,787.3800048828125,17957100,787.3800048828125,2021-02-18
2021-02-19,795.0,796.7899780273438,777.3699951171875,781.2999877929688,18958300,781.2999877929688,2021-02-19
2021-02-22,762.6400146484375,768.5,710.2000122070312,714.5,37269700,714.5,2021-02-22
2021-02-23,662.1300048828125,713.6099853515625,619.0,698.8400268554688,66606900,698.8400268554688,2021-02-23
2021-02-24,711.8499755859375,745.0,694.1699829101562,742.02001953125,36767000,742.02001953125,2021-02-24
2021-02-25,726.1500244140625,737.2100219726562,670.5800170898438,682.219970703125,39023900,682.219970703125,2021-02-25
2021-02-26,700.0,706.7000122070312,659.510009765625,675.5,41089200,675.5,2021-02-26
2021-03-01,690.1099853515625,719.0,685.0499877929688,718.4299926757812,27136200,718.4299926757812,2021-03-01
2021-03-02,718.280029296875,721.1099853515625,685.0,686.4400024414062,23732200,686.4400024414062,2021-03-02
2021-03-03,687.989990234375,700.7000122070312,651.7100219726562,653.2000122070312,30208000,653.2000122070312,2021-03-03
2021-03-04,655.7999877929688,668.4500122070312,600.0,621.4400024414062,65919500,621.4400024414062,2021-03-04
2021-03-05,626.0599975585938,627.8400268554688,539.489990234375,597.9500122070312,89396500,597.9500122070312,2021-03-05
2021-03-08,600.5499877929688,620.1300048828125,558.7899780273438,563.0,51787000,563.0,2021-03-08
2021-03-09,608.1799926757812,678.0900268554688,595.2100219726562,673.5800170898438,67523300,673.5800170898438,2021-03-09
2021-03-10,700.2999877929688,717.8499755859375,655.0599975585938,668.0599975585938,60605700,668.0599975585938,2021-03-10
2021-03-11,699.4000244140625,702.5,677.1799926757812,699.5999755859375,36253900,699.5999755859375,2021-03-11
2021-03-12,670.0,694.8800048828125,666.1400146484375,693.72998046875,33583800,693.72998046875,2021-03-12
