,Open,High,Low,Close,Volume,Adj. Close,Date
2021-10-22,38.11187774431892,38.21132746019584,36.535994143899046,37.86708068847656,1352300,37.86708068847656,2021-10-22
2021-10-25,37.178588064361584,38.96866840335447,37.140339070605,38.52497482299805,1936400,38.52497482299805,2021-10-25
2021-10-26,38.479073637893485,39.687761664281474,37.186238993928704,37.622283935546875,2007800,37.622283935546875,2021-10-26
2021-10-27,37.21684048432369,37.61463352667523,35.58740764779406,36.145851135253906,2331100,36.145851135253906,2021-10-27
2021-10-28,36.750195566529655,38.065979076937715,36.14585152843486,37.790584564208984,1401000,37.790584564208984,2021-10-28
2021-10-29,38.24192968120857,39.39706566224394,37.61463391212335,39.18286895751953,2093600,39.18286895751953,2021-10-29
2021-11-01,39.993755817793215,41.806787825204744,39.97845563717498,41.523738861083984,2673900,41.523738861083984,2021-11-01
2021-11-02,41.523739279540536,41.714987161879186,39.70306154078856,41.66143798828125,1968000,41.66143798828125,2021-11-02
2021-11-03,42.31168265534419,42.457029995764685,41.401340865257374,42.0439338684082,1485100,42.0439338684082,2021-11-03
2021-11-04,41.96743626133079,41.99880119455181,38.739171035625,40.674598693847656,3062300,40.674598693847656,2021-11-04
2021-11-05,40.154408386953385,40.18500583160319,37.92828305751005,38.30312728881836,2746500,38.30312728881836,2021-11-05
2021-11-08,38.93042020274105,39.55771305140475,37.729383681406084,37.91298294067383,1635800,37.91298294067383,2021-11-08
2021-11-09,38.24957941764184,39.24406789885826,37.33158892797617,38.983970642089844,2634600,38.983970642089844,2021-11-09
2021-11-10,38.02008022944143,38.40257600052593,36.00050302502906,36.757843017578125,3027300,36.757843017578125,2021-11-10
2021-11-11,37.51518625209871,38.35285001361932,37.331586996380764,37.905330657958984,1484900,37.905330657958984,2021-11-11
2021-11-12,38.035380690328175,38.47907427058102,37.262737592854265,38.41022491455078,1652200,38.41022491455078,2021-11-12
2021-11-15,38.957193778040526,38.99161991497573,37.102089868269296,37.75998306274414,1897900,37.75998306274414,2021-11-15
2021-11-16,37.42338622109097,38.4637752236894,36.28355041545832,38.32607650756836,3328800,38.32607650756836,2021-11-16
2021-11-17,40.62104884549264,42.0821825427831,38.09657739444249,40.39155197143555,9628300,40.39155197143555,2021-11-17
2021-11-18,40.927047540637346,42.83952639767647,40.009057105616336,41.669090270996094,6699800,41.669090270996094,2021-11-18
2021-11-19,42.4111306968276,44.76730608353473,42.29638371467156,43.73456573486328,7412100,43.73456573486328,2021-11-19
2021-11-22,44.44600843852478,45.96834292590364,41.806789892886485,43.60451889038086,6613200,43.60451889038086,2021-11-22
2021-11-23,42.62533022126987,43.52802048629859,40.56750107825184,42.07453536987305,3715000,42.07453536987305,2021-11-23
2021-11-24,41.309545644391115,42.03628823474026,40.26915662050746,41.76853942871094,2758500,41.76853942871094,2021-11-24
2021-11-26,40.735800151755804,41.906236292711064,39.680110992695674,40.6822509765625,2597600,40.6822509765625,2021-11-26
2021-11-29,42.227534224697564,44.23946282215857,40.48335150296603,44.086463928222656,4609000,44.086463928222656,2021-11-29
2021-11-30,43.642765972475516,43.84931403467051,40.78169929957678,42.28873062133789,5520900,42.28873062133789,2021-11-30
2021-12-01,42.92367450942333,43.298518718761585,40.72814967152327,40.873497009277344,3721100,40.873497009277344,2021-12-01
2021-12-02,41.06474706641644,42.38053347998863,40.927048352521155,41.944488525390625,1919900,41.944488525390625,2021-12-02
2021-12-03,42.46467966270022,43.98701413143587,40.797000768210495,41.57728958129883,3405800,41.57728958129883,2021-12-03
2021-12-06,41.5619892142634,43.391082986838875,39.70305965286876,42.5947265625,4070600,42.5947265625,2021-12-06
2021-12-07,43.52802014137118,45.89949276705102,43.527920141371176,44.331260681152344,6754200,44.331260681152344,2021-12-07
